formulation,frequency_Hz,Z_real_ohm,minus_Z_imag_ohm,series
Reference,100000.0,3.10183,0.01119,model
Reference,96764.680538,3.10186,0.01153,model
Reference,93634.033996,3.10189,0.01189,model
Reference,90604.67387,3.10193,0.01225,model
Reference,87673.323223,3.10196,0.01263,model
Reference,84836.811133,3.10199,0.01302,model
Reference,82092.069272,3.10202,0.01342,model
Reference,79436.128577,3.10206,0.01384,model
Reference,76866.116049,3.10209,0.01427,model
Reference,74379.251637,3.10213,0.01471,model
Reference,71972.845233,3.10216,0.01516,model
Reference,69644.293763,3.1022,0.01563,model
Reference,67391.078373,3.10224,0.01612,model
Reference,65210.761698,3.10227,0.01662,model
Reference,63100.985234,3.10231,0.01714,model
Reference,61059.466778,3.10235,0.01767,model
Reference,59083.997965,3.10239,0.01823,model
Reference,57172.44188,3.10243,0.01879,model
Reference,55322.730741,3.10247,0.01938,model
Reference,53532.863666,3.10251,0.01999,model
Reference,51800.904509,3.10256,0.02061,model
Reference,50124.979764,3.1026,0.02126,model
Reference,48503.276538,3.10264,0.02193,model
Reference,46934.040592,3.10269,0.02262,model
Reference,45415.574443,3.10273,0.02333,model
Reference,43946.235524,3.10278,0.02406,model
Reference,42524.434413,3.10283,0.02482,model
Reference,41148.63311,3.10287,0.0256,model
Reference,39817.343375,3.10292,0.02641,model
Reference,38529.125115,3.10297,0.02725,model
Reference,37282.584832,3.10302,0.02811,model
Reference,36076.374108,3.10307,0.029,model
Reference,34909.188156,3.10313,0.02991,model
Reference,33779.764397,3.10318,0.03086,model
Reference,32686.881105,3.10324,0.03184,model
Reference,31629.356079,3.10329,0.03285,model
Reference,30606.045366,3.10335,0.0339,model
Reference,29615.842024,3.1034,0.03497,model
Reference,28657.674923,3.10346,0.03609,model
Reference,27730.507589,3.10352,0.03723,model
Reference,26833.33708,3.10358,0.03842,model
Reference,25965.192903,3.10365,0.03965,model
Reference,25125.135963,3.10371,0.04091,model
Reference,24312.25755,3.10377,0.04222,model
Reference,23525.678349,3.10384,0.04357,model
Reference,22764.547499,3.10391,0.04496,model
Reference,22028.041663,3.10398,0.0464,model
Reference,21315.364144,3.10405,0.04788,model
Reference,20625.74402,3.10412,0.04942,model
