example_source,field,status
Example 01,cell_type,reported
Example 01,loading,reported
Example 01,electrolyte,reported
Example 01,temperature,not reported
Example 01,pressure,not reported
Example 01,comparator,partly specified
Example 02,cell_type,reported
Example 02,loading,reported
Example 02,electrolyte,reported
Example 02,temperature,reported
Example 02,pressure,not reported
Example 02,comparator,partly specified
Example 03,cell_type,reported
Example 03,loading,reported
Example 03,electrolyte,partly specified
Example 03,temperature,not reported
Example 03,pressure,reported
Example 03,comparator,reported
Example 04,cell_type,reported
Example 04,loading,partly specified
Example 04,electrolyte,reported
Example 04,temperature,reported
Example 04,pressure,not reported
Example 04,comparator,not reported
Example 05,cell_type,reported
Example 05,loading,reported
Example 05,electrolyte,reported
Example 05,temperature,not reported
Example 05,pressure,reported
Example 05,comparator,partly specified
Example 06,cell_type,partly specified
Example 06,loading,reported
Example 06,electrolyte,reported
Example 06,temperature,reported
Example 06,pressure,reported
Example 06,comparator,reported
Example 07,cell_type,reported
Example 07,loading,not reported
Example 07,electrolyte,reported
Example 07,temperature,not reported
Example 07,pressure,partly specified
Example 07,comparator,reported
Example 08,cell_type,reported
Example 08,loading,reported
Example 08,electrolyte,reported
Example 08,temperature,reported
Example 08,pressure,reported
Example 08,comparator,partly specified
Example 09,cell_type,reported
Example 09,loading,reported
Example 09,electrolyte,partly specified
Example 09,temperature,not reported
Example 09,pressure,not reported
Example 09,comparator,reported
Example 10,cell_type,reported
Example 10,loading,partly specified
Example 10,electrolyte,reported
Example 10,temperature,reported
Example 10,pressure,reported
Example 10,comparator,reported
Example 11,cell_type,reported
Example 11,loading,reported
Example 11,electrolyte,reported
Example 11,temperature,reported
Example 11,pressure,not reported
Example 11,comparator,reported
Example 12,cell_type,reported
Example 12,loading,reported
Example 12,electrolyte,reported
Example 12,temperature,partly specified
Example 12,pressure,reported
Example 12,comparator,reported
