formulation,cycle_number,specific_capacity_mAh_g
Reference,1,180.0
Reference,2,181.488
Reference,3,182.2173
Reference,4,182.6157
Reference,5,182.2328
Reference,6,181.2362
Reference,7,181.8383
Reference,8,182.1565
Reference,9,182.1204
Reference,10,182.212
Reference,11,181.7747
Reference,12,181.9078
Reference,13,181.2845
Reference,14,182.9878
Reference,15,182.1636
Reference,16,182.699
Reference,17,182.5252
Reference,18,182.2175
Reference,19,181.982
Reference,20,182.3764
Reference,21,181.9955
Reference,22,181.9819
Reference,23,182.1728
Reference,24,182.5524
Reference,25,182.3702
Reference,26,181.9278
Reference,27,182.1916
Reference,28,181.8104
Reference,29,180.8613
Reference,30,181.5683
Reference,31,180.572
Reference,32,182.4727
Reference,33,182.2353
Reference,34,182.3417
Reference,35,180.9015
Reference,36,181.5547
Reference,37,181.7259
Reference,38,180.2785
Reference,39,181.0447
Reference,40,181.29
Reference,41,180.8228
Reference,42,180.7087
Reference,43,180.7934
Reference,44,180.2482
Reference,45,179.9767
Reference,46,180.7235
Reference,47,180.5651
Reference,48,179.7532
Reference,49,179.9224
Reference,50,180.0801
Reference,51,179.3233
Reference,52,180.887
Reference,53,180.365
Reference,54,180.4224
Reference,55,179.3154
Reference,56,180.3772
Reference,57,179.3924
Reference,58,178.7969
Reference,59,180.0448
Reference,60,178.6257
Reference,61,179.0907
Reference,62,179.4385
Reference,63,179.3982
Reference,64,180.0186
Reference,65,179.5336
Reference,66,177.8768
Reference,67,178.259
Reference,68,178.2919
Reference,69,178.6452
Reference,70,178.2233
Reference,71,178.3274
Reference,72,177.1369
Reference,73,178.8236
Reference,74,177.8069
Reference,75,177.3598
Reference,76,177.6593
Reference,77,177.8624
Reference,78,177.5479
Reference,79,176.7787
Reference,80,178.1184
Reference,81,177.1732
Reference,82,176.9104
Reference,83,177.1678
Reference,84,177.1115
Reference,85,177.2196
Reference,86,177.8395
Reference,87,175.6869
Reference,88,176.5973
Reference,89,176.2032
Reference,90,176.4066
Reference,91,176.6185
Reference,92,176.5786
Reference,93,175.6196
Reference,94,175.4432
Reference,95,176.2222
Reference,96,176.0762
Reference,97,175.5496
Reference,98,176.032
Reference,99,175.087
Reference,100,174.9045
Reference,101,175.0696
Reference,102,174.5271
Reference,103,174.3885
Reference,104,175.0855
Reference,105,175.9703
Reference,106,174.9855
Reference,107,175.559
Reference,108,174.6251
Reference,109,174.4875
Reference,110,173.5539
Reference,111,174.9384
Reference,112,174.5007
Reference,113,174.8833
Reference,114,174.7552
Reference,115,173.9672
Reference,116,174.1301
Reference,117,173.0802
Reference,118,173.6318
Reference,119,172.8716
Reference,120,172.9068
Reference,121,173.5097
Reference,122,172.8905
Reference,123,173.4453
Reference,124,171.8799
Reference,125,172.1999
Reference,126,172.4864
Reference,127,173.4642
Reference,128,172.7861
Reference,129,172.3974
Reference,130,171.7593
Reference,131,171.4355
Reference,132,172.1222
Reference,133,171.7985
Reference,134,171.8198
Reference,135,170.6019
Reference,136,171.0139
Reference,137,171.9193
Reference,138,170.8445
Reference,139,170.985
Reference,140,171.3387
Reference,141,171.1003
Reference,142,171.3008
Reference,143,170.0727
Reference,144,171.0937
Reference,145,169.6596
Reference,146,170.9244
Reference,147,169.8476
Reference,148,170.177
Reference,149,170.1751
Reference,150,169.665
Reference,151,169.6145
Reference,152,169.0732
Reference,153,168.6921
Reference,154,168.3986
Reference,155,167.4869
Reference,156,169.5401
Reference,157,168.7183
Reference,158,168.2013
Reference,159,168.5684
Reference,160,169.3995
Reference,161,167.5484
Reference,162,169.0946
Reference,163,168.3461
Reference,164,168.7836
Reference,165,168.6842
Reference,166,167.2432
Reference,167,166.3254
Reference,168,167.6043
Reference,169,167.287
Reference,170,167.5195
Reference,171,166.391
Reference,172,166.2213
Reference,173,166.6239
Reference,174,166.8753
Reference,175,166.5537
Reference,176,165.8897
Reference,177,165.4162
Reference,178,166.2524
Reference,179,166.1456
Reference,180,165.8346
Reference,181,165.8648
Reference,182,165.5251
Reference,183,165.201
Reference,184,164.4562
Reference,185,165.0174
Reference,186,164.6668
Reference,187,165.3007
Reference,188,164.5623
Reference,189,164.2317
Reference,190,164.6246
Reference,191,164.2819
Reference,192,164.5815
Reference,193,163.1928
Reference,194,163.1751
Reference,195,163.2244
Reference,196,163.826
Reference,197,164.201
Reference,198,163.0358
Reference,199,163.3144
Reference,200,163.1847
Reference,201,163.319
Reference,202,161.8741
Reference,203,162.1801
Reference,204,163.1782
Reference,205,162.7716
Reference,206,163.0467
Reference,207,162.5798
Reference,208,162.2419
Reference,209,161.7134
Reference,210,160.7159
Reference,211,160.9459
Reference,212,160.5701
Reference,213,161.806
Reference,214,160.8821
Reference,215,160.0681
Reference,216,160.6463
Reference,217,160.2004
Reference,218,160.2485
Reference,219,159.8242
Reference,220,159.5451
Reference,221,159.627
Reference,222,160.2274
Reference,223,159.2379
Reference,224,159.5202
Reference,225,159.637
Reference,226,159.7662
Reference,227,158.8017
Reference,228,158.4979
Reference,229,158.8237
Reference,230,159.4864
Reference,231,158.6099
Reference,232,157.6996
Reference,233,158.8118
Reference,234,158.5174
Reference,235,158.0361
Reference,236,158.1454
Reference,237,158.7559
Reference,238,157.8461
Reference,239,158.1899
Reference,240,157.5529
Reference,241,157.2228
Reference,242,157.1657
Reference,243,156.4668
Reference,244,156.322
Reference,245,157.5167
Reference,246,156.4753
Reference,247,156.492
Reference,248,156.4055
Reference,249,156.0451
Reference,250,155.0239
Reference,251,157.055
Reference,252,155.6252
Reference,253,154.4925
Reference,254,155.7647
Reference,255,155.0148
Reference,256,154.3969
Reference,257,155.5707
Reference,258,155.3278
Reference,259,154.647
Reference,260,154.5108
Reference,261,154.0777
Reference,262,154.3773
Reference,263,154.6918
Reference,264,152.6407
Reference,265,153.6777
Reference,266,153.5063
Reference,267,153.3391
Reference,268,152.6008
Reference,269,153.5025
Reference,270,153.0427
Reference,271,152.0076
Reference,272,153.0105
Reference,273,152.5399
Reference,274,152.3064
Reference,275,151.5379
Reference,276,151.8513
Reference,277,152.9739
Reference,278,151.1154
Reference,279,151.19
Reference,280,151.2694
Reference,281,152.1685
Reference,282,151.3472
Reference,283,150.9598
Reference,284,150.3315
Reference,285,150.4909
Reference,286,150.0863
Reference,287,150.6383
Reference,288,150.0217
Reference,289,149.5971
Reference,290,149.3043
Reference,291,148.6841
Reference,292,149.4854
Reference,293,148.1042
Reference,294,148.7621
Reference,295,147.8201
Reference,296,148.2223
Reference,297,148.6748
Reference,298,148.4472
Reference,299,147.7601
Reference,300,147.9638
Reference,301,147.6689
Reference,302,147.524
Reference,303,148.2743
Reference,304,147.0758
Reference,305,146.6614
Reference,306,147.779
Reference,307,145.8624
Reference,308,147.1842
Reference,309,146.3491
Reference,310,146.0202
Reference,311,147.0494
Reference,312,146.2806
Reference,313,145.4967
Reference,314,145.993
Reference,315,145.9651
Reference,316,146.0917
Reference,317,144.6636
Reference,318,144.4764
