cycle_number,specific_capacity_mAh_g,cell_voltage_V
1,0.0,4.23
1,0.7259,4.21614
1,1.4517,4.20266
1,2.1776,4.18955
1,2.9035,4.17681
1,3.6293,4.16443
1,4.3552,4.15238
1,5.0811,4.14066
1,5.8069,4.12927
1,6.5328,4.11819
1,7.2587,4.10742
1,7.9846,4.09694
1,8.7104,4.08675
1,9.4363,4.07683
1,10.1622,4.06719
1,10.888,4.0578
1,11.6139,4.04867
1,12.3398,4.03979
1,13.0656,4.03115
1,13.7915,4.02274
1,14.5174,4.01455
1,15.2432,4.00659
1,15.9691,3.99883
1,16.695,3.99129
1,17.4208,3.98394
1,18.1467,3.97679
1,18.8726,3.96983
1,19.5985,3.96305
1,20.3243,3.95645
1,21.0502,3.95002
1,21.7761,3.94376
1,22.5019,3.93766
1,23.2278,3.93172
1,23.9537,3.92594
1,24.6795,3.9203
1,25.4054,3.91481
1,26.1313,3.90946
1,26.8571,3.90424
1,27.583,3.89916
1,28.3089,3.8942
1,29.0347,3.88937
1,29.7606,3.88467
1,30.4865,3.88007
1,31.2124,3.8756
1,31.9382,3.87123
1,32.6641,3.86697
1,33.39,3.86281
1,34.1158,3.85876
1,34.8417,3.8548
1,35.5676,3.85094
1,36.2934,3.84718
1,37.0193,3.8435
1,37.7452,3.83991
1,38.471,3.8364
1,39.1969,3.83298
1,39.9228,3.82964
1,40.6486,3.82637
1,41.3745,3.82318
1,42.1004,3.82006
1,42.8263,3.81701
1,43.5521,3.81404
1,44.278,3.81113
1,45.0039,3.80828
1,45.7297,3.8055
1,46.4556,3.80277
1,47.1815,3.80011
1,47.9073,3.7975
1,48.6332,3.79496
1,49.3591,3.79246
1,50.0849,3.79002
1,50.8108,3.78763
1,51.5367,3.78528
1,52.2625,3.78299
1,52.9884,3.78074
1,53.7143,3.77854
1,54.4402,3.77639
1,55.166,3.77427
1,55.8919,3.7722
1,56.6178,3.77017
1,57.3436,3.76817
1,58.0695,3.76622
1,58.7954,3.7643
1,59.5212,3.76241
1,60.2471,3.76057
1,60.973,3.75875
1,61.6988,3.75697
1,62.4247,3.75522
1,63.1506,3.7535
1,63.8764,3.75181
1,64.6023,3.75015
1,65.3282,3.74852
1,66.0541,3.74692
1,66.7799,3.74534
1,67.5058,3.74379
1,68.2317,3.74226
1,68.9575,3.74076
1,69.6834,3.73928
1,70.4093,3.73782
1,71.1351,3.73639
1,71.861,3.73498
1,72.5869,3.73359
1,73.3127,3.73222
1,74.0386,3.73087
1,74.7645,3.72954
1,75.4903,3.72822
1,76.2162,3.72693
1,76.9421,3.72565
1,77.668,3.72439
1,78.3938,3.72315
1,79.1197,3.72192
1,79.8456,3.72071
1,80.5714,3.71951
1,81.2973,3.71833
1,82.0232,3.71716
1,82.749,3.716
1,83.4749,3.71486
1,84.2008,3.71374
1,84.9266,3.71262
1,85.6525,3.71152
1,86.3784,3.71043
1,87.1042,3.70935
1,87.8301,3.70828
1,88.556,3.70722
1,89.2819,3.70618
1,90.0077,3.70514
1,90.7336,3.70411
1,91.4595,3.7031
1,92.1853,3.70209
1,92.9112,3.70109
1,93.6371,3.7001
1,94.3629,3.69912
1,95.0888,3.69815
1,95.8147,3.69719
1,96.5405,3.69623
1,97.2664,3.69528
1,97.9923,3.69434
1,98.7181,3.69341
1,99.444,3.69248
1,100.1699,3.69156
1,100.8958,3.69065
1,101.6216,3.68974
1,102.3475,3.68884
1,103.0734,3.68794
1,103.7992,3.68706
1,104.5251,3.68617
1,105.251,3.68529
1,105.9768,3.68442
1,106.7027,3.68355
1,107.4286,3.68269
1,108.1544,3.68183
1,108.8803,3.68098
