formulation,cycle_number,coulombic_efficiency_percent
Reference,1,94.78851
Reference,2,94.91897
Reference,3,94.98516
Reference,4,95.35672
Reference,5,95.33102
Reference,6,95.67387
Reference,7,95.83226
Reference,8,95.81495
Reference,9,96.22869
Reference,10,96.00263
Reference,11,96.10246
Reference,12,96.41454
Reference,13,96.51668
Reference,14,96.93749
Reference,15,96.68672
Reference,16,97.14654
Reference,17,96.91683
Reference,18,96.93007
Reference,19,97.17955
Reference,20,97.12808
Reference,21,97.25559
Reference,22,97.13005
Reference,23,97.35784
Reference,24,97.42695
Reference,25,97.22888
Reference,26,97.45706
Reference,27,97.19824
Reference,28,97.64682
Reference,29,97.49473
Reference,30,97.72135
Reference,31,97.75459
Reference,32,98.17908
Reference,33,97.64835
Reference,34,97.60707
Reference,35,98.04716
Reference,36,98.00747
Reference,37,98.77245
Reference,38,98.12646
Reference,39,98.03187
Reference,40,97.5937
Reference,41,98.24017
Reference,42,97.92745
Reference,43,98.36294
Reference,44,98.27769
Reference,45,98.33464
Reference,46,98.57715
Reference,47,98.57396
Reference,48,98.49873
Reference,49,98.23503
Reference,50,98.16805
Reference,51,98.49102
Reference,52,98.38708
Reference,53,98.13767
Reference,54,98.18045
Reference,55,98.01406
Reference,56,98.09319
Reference,57,98.28718
Reference,58,97.97727
Reference,59,98.10808
Reference,60,98.19757
Reference,61,98.18829
Reference,62,98.1527
Reference,63,98.45125
Reference,64,98.14715
Reference,65,98.62141
Reference,66,98.47024
Reference,67,98.85623
Reference,68,98.77327
Reference,69,98.54791
Reference,70,98.15282
Reference,71,98.38893
Reference,72,98.45492
Reference,73,98.37995
Reference,74,98.70301
Reference,75,98.3634
Reference,76,98.85357
Reference,77,98.05708
Reference,78,98.42748
Reference,79,98.25248
Reference,80,98.59648
Reference,81,98.53822
Reference,82,98.26019
Reference,83,98.34458
Reference,84,98.34896
Reference,85,98.31541
Reference,86,98.64249
Reference,87,98.41856
Reference,88,98.70313
Reference,89,98.2102
Reference,90,98.0492
Reference,91,98.61165
