cycle,electrolyte_A_mAh_g,electrolyte_B_mAh_g
1.0,156.3535098419262,155.5572741420464
2.0,156.39064062749645,155.38017180454128
3.0,156.39700027075554,155.18183721658707
4.0,156.36239636523612,154.96722323514123
5.0,156.28221518262686,154.74267701834344
6.0,156.15804563055423,154.51540927152465
7.0,155.99746371962044,154.29289139008233
8.0,155.81300671097307,154.08223084490564
9.0,155.6204757886249,153.8895769730545
10.0,155.43679698176638,153.7196067971894
11.0,155.2777298511068,153.57513381387378
12.0,155.15573405770687,153.45687242146818
13.0,155.07828256410983,153.3633776605286
14.0,155.04684976799578,153.29116529888424
15.0,155.0567115196331,153.23500223258497
16.0,155.09758408973826,153.18834295045255
17.0,155.15501560635653,153.14387561187334
18.0,155.21234163622276,153.0941321334274
19.0,155.25294023175618,153.03211133443045
20.0,155.26248123357382,152.95186310089102
21.0,155.23086539589806,152.8489847828284
22.0,155.15359088325033,152.72098836949147
23.0,155.03236218943542,152.56750777864934
24.0,154.87485906440904,152.39032894856402
25.0,154.69369672361702,152.1932402194034
26.0,154.504718070518,151.98171549889182
27.0,154.3248490718837,151.76245667156243
28.0,154.1698075506968,151.54283346586234
29.0,154.0519755007044,151.33026755689184
30.0,153.97872289480102,151.13161233956825
31.0,153.9514098518405,150.95258016858284
32.0,153.96520221384912,150.79726489746227
33.0,154.00972549433,150.66779959040815
34.0,154.07046868875543,150.56417799200796
35.0,154.130747948016,150.48425466412638
36.0,154.17396434077116,150.42392377838993
37.0,154.18585012709403,150.37746163275233
38.0,154.15639952074557,150.33800428766264
39.0,154.08122262039987,150.29812043322147
40.0,153.9621392615177,150.25043164575703
41.0,153.80693241374183,150.18822823466127
42.0,153.62829450025984,150.10602924859396
43.0,153.44210924980555,150.0000398735436
44.0,153.2653016245117,149.86846802427294
45.0,153.1135468257346,149.7116736897565
46.0,152.99914845310826,149.53213856031087
47.0,152.92937299798882,149.3342584728001
48.0,152.9054660897333,149.1239760071632
49.0,152.92248364120934,148.90828391683468
50.0,152.96996074714437,148.6946408625841
51.0,153.03332780300838,148.49034824304113
52.0,153.09588217932915,148.30194016407938
53.0,153.14104859452056,148.13463749197663
54.0,153.1546222553135,147.9919115834935
55.0,153.12669116620546,147.8751941266465
56.0,153.05297743231318,147.78375732392243
57.0,152.9354160165303,147.71477442400118
58.0,152.7818926188765,147.6635555467482
59.0,152.60517615479017,147.62393910710338
60.0,152.42119031637375,147.58880614908122
61.0,152.24685815262208,147.55067463660095
62.0,152.09781139454304,147.5023240704892
63.0,151.9862745572247,147.43739826839715
64.0,151.91941019566337,147.35093596803512
65.0,151.8983492761708,147.23978494177055
66.0,151.9180378979979,147.10286503886266
67.0,151.9679211106424,146.94125818800225
68.0,152.0333712753344,146.7581178437608
69.0,152.09766764863102,146.55840543920002
70.0,152.14425926072866,146.34847585399893
71.0,152.15900481848695,146.13554651651097
72.0,152.13208647276034,145.92709447615684
73.0,152.0593384305665,145.73023179792057
74.0,151.94281059063027,145.55111144108662
75.0,151.790490916838,145.39441323855021
76.0,151.6152241250156,145.26295290365567
77.0,151.43297303366603,145.15744671721257
78.0,151.26065789665057,145.07645154614053
79.0,151.11386615396472,145.01648520285397
80.0,151.00474257506073,144.97231709384127
81.0,150.9403453538869,144.93740488465835
82.0,150.92169065043302,144.90444071439975
83.0,150.9436148955684,144.86596134398792
84.0,150.99547349553333,144.81497128336636
85.0,151.06258136967602,144.74552685878461
86.0,151.12820035137818,144.6532324433466
87.0,151.17580446674495,144.53560740943715
88.0,151.19131649618484,144.39229315794995
89.0,151.16501311073046,144.22508293478717
90.0,151.09284073180595,144.0377719445353
91.0,150.9769640189653,143.83584027860977
92.0,150.82547275032843,143.625995137202
93.0,150.6512867680448,143.4156105750545
94.0,150.47040719924956,143.2121115591053
95.0,150.2997506415238,143.0223537766863
96.0,150.15485944566828,142.85205098784104
97.0,150.04779799824865,142.7052977448122
98.0,149.98551973217292,142.58422733742302
99.0,149.96892588273215,142.4888335300596
100.0,149.99274338203296,142.4169709773567
101.0,150.04623841821007,142.36453428383004
102.0,150.1146690825032,142.32580075374136
103.0,150.1812804952037,142.29390820734372
104.0,150.22957237951053,142.2614279599584
105.0,150.24553217778626,142.22098511307325
106.0,150.21953146837953,142.1658743555195
107.0,150.14762901187027,142.090619847749
108.0,150.032104065517,141.99143243197994
109.0,149.88114778427533,141.86652598552774
110.0,149.70775447578788,141.71626649790798
111.0,149.5279627727604,141.54314142191257
112.0,149.358684771768,141.3515518581865
113.0,149.2154169543499,141.1474449284048
114.0,149.11014270646083,140.93781703836055
115.0,149.04971032041112,140.73012951454888
116.0,149.03490600910268,140.53168541571844
117.0,149.06034739571422,140.34901956322932
118.0,149.11521189448723,140.18735273012362
119.0,149.1847013996698,140.0501555707779
120.0,149.25204504382117,139.93885870832383
121.0,149.30076896151655,139.85273319106105
122.0,149.31692585656288,139.7889513011875
123.0,149.2909826112436,139.74282263754736
124.0,149.2191104585177,139.70818575656787
125.0,149.10370309839948,139.67792266454433
126.0,148.95305263387962,139.64455319483955
127.0,148.78022718692256,139.60085963219646
128.0,148.60130210393183,139.54048942035774
129.0,148.4331841487078,139.45848561950055
130.0,148.2913231681578,139.35170081376825
131.0,148.18762094605142,139.21905990252844
132.0,148.1288202716396,139.06164982904488
