normalized_state,two_theta_deg,relative_intensity_au
0.0,18.0,0.069425
0.0,18.1237,0.056209
0.0,18.2475,0.054379
0.0,18.3712,0.04576
0.0,18.495,0.063463
0.0,18.6187,0.057752
0.0,18.7425,0.049015
0.0,18.8662,0.054148
0.0,18.99,0.032342
0.0,19.1137,0.064427
0.0,19.2375,0.062436
0.0,19.3612,0.030957
0.0,19.4849,0.078215
0.0,19.6087,0.071121
0.0,19.7324,0.072968
0.0,19.8562,0.065772
0.0,19.9799,0.058399
0.0,20.1037,0.088491
0.0,20.2274,0.079563
0.0,20.3512,0.08157
0.0,20.4749,0.074781
0.0,20.5987,0.089849
0.0,20.7224,0.081891
0.0,20.8462,0.096049
0.0,20.9699,0.07302
0.0,21.0936,0.091887
0.0,21.2174,0.059915
0.0,21.3411,0.050024
0.0,21.4649,0.08129
0.0,21.5886,0.07497
0.0,21.7124,0.078883
0.0,21.8361,0.084821
0.0,21.9599,0.052659
0.0,22.0836,0.06685
0.0,22.2074,0.071316
0.0,22.3311,0.084933
0.0,22.4548,0.064357
0.0,22.5786,0.068853
0.0,22.7023,0.045475
0.0,22.8261,0.081458
0.0,22.9498,0.056689
0.0,23.0736,0.070504
0.0,23.1973,0.060691
0.0,23.3211,0.074801
0.0,23.4448,0.089272
0.0,23.5686,0.14931
0.0,23.6923,0.24158
0.0,23.8161,0.374046
0.0,23.9398,0.546336
0.0,24.0635,0.755444
0.0,24.1873,0.956884
0.0,24.311,1.045102
0.0,24.4348,1.095704
0.0,24.5585,0.997258
0.0,24.6823,0.834101
0.0,24.806,0.629871
0.0,24.9298,0.442055
0.0,25.0535,0.31396
0.0,25.1773,0.179569
0.0,25.301,0.128368
0.0,25.4247,0.071805
0.0,25.5485,0.057082
0.0,25.6722,0.079013
0.0,25.796,0.073565
0.0,25.9197,0.072036
0.0,26.0435,0.06491
0.0,26.1672,0.084844
0.0,26.291,0.075984
0.0,26.4147,0.071108
0.0,26.5385,0.067232
0.0,26.6622,0.082118
0.0,26.786,0.078168
