selection,normalized_state,two_theta_deg,relative_intensity_au
Early,0.08,18.0,0.048788
Early,0.08,18.1237,0.050297
Early,0.08,18.2475,0.052008
Early,0.08,18.3712,0.053892
Early,0.08,18.495,0.055918
Early,0.08,18.6187,0.058054
Early,0.08,18.7425,0.060263
Early,0.08,18.8662,0.062509
Early,0.08,18.99,0.064755
Early,0.08,19.1137,0.066964
Early,0.08,19.2375,0.069098
Early,0.08,19.3612,0.071124
Early,0.08,19.4849,0.073007
Early,0.08,19.6087,0.074716
Early,0.08,19.7324,0.076223
Early,0.08,19.8562,0.077503
Early,0.08,19.9799,0.078536
Early,0.08,20.1037,0.079302
Early,0.08,20.2274,0.079791
Early,0.08,20.3512,0.079994
Early,0.08,20.4749,0.079908
Early,0.08,20.5987,0.079533
Early,0.08,20.7224,0.078877
Early,0.08,20.8462,0.07795
Early,0.08,20.9699,0.076768
Early,0.08,21.0936,0.075349
Early,0.08,21.2174,0.073718
Early,0.08,21.3411,0.071902
Early,0.08,21.4649,0.06993
Early,0.08,21.5886,0.067835
Early,0.08,21.7124,0.065652
Early,0.08,21.8361,0.063416
Early,0.08,21.9599,0.061166
Early,0.08,22.0836,0.058937
Early,0.08,22.2074,0.056768
Early,0.08,22.3311,0.054693
Early,0.08,22.4548,0.052748
Early,0.08,22.5786,0.050964
Early,0.08,22.7023,0.049373
Early,0.08,22.8261,0.04801
Early,0.08,22.9498,0.046928
Early,0.08,23.0736,0.046258
Early,0.08,23.1973,0.046363
Early,0.08,23.3211,0.048213
Early,0.08,23.4448,0.05411
Early,0.08,23.5686,0.068793
Early,0.08,23.6923,0.100539
Early,0.08,23.8161,0.16116
Early,0.08,23.9398,0.263285
Early,0.08,24.0635,0.413982
Early,0.08,24.1873,0.606243
Early,0.08,24.311,0.813241
Early,0.08,24.4348,0.991385
Early,0.08,24.5585,1.094351
Early,0.08,24.6823,1.092594
Early,0.08,24.806,0.987258
Early,0.08,24.9298,0.809604
Early,0.08,25.0535,0.606329
Early,0.08,25.1773,0.420111
Early,0.08,25.301,0.276275
Early,0.08,25.4247,0.180513
Early,0.08,25.5485,0.125035
Early,0.08,25.6722,0.097054
Early,0.08,25.796,0.084928
Early,0.08,25.9197,0.080624
Early,0.08,26.0435,0.079597
Early,0.08,26.1672,0.079663
Early,0.08,26.291,0.079912
Early,0.08,26.4147,0.080014
Early,0.08,26.5385,0.079865
Early,0.08,26.6622,0.079437
Early,0.08,26.786,0.078732
Early,0.08,26.9097,0.077758
Early,0.08,27.0334,0.076532
Early,0.08,27.1572,0.075074
Early,0.08,27.2809,0.073408
Early,0.08,27.4047,0.071561
