formulation,raman_shift_cm_1,offset_intensity_au
Formulation A,670.0,-0.01948
Formulation A,670.772,-0.01499
Formulation A,671.545,-0.01032
Formulation A,672.317,-0.00554
Formulation A,673.09,-0.00068
Formulation A,673.862,0.00418
Formulation A,674.635,0.00899
Formulation A,675.407,0.01369
Formulation A,676.18,0.01824
Formulation A,676.952,0.02257
Formulation A,677.724,0.02664
Formulation A,678.497,0.0304
Formulation A,679.269,0.03381
Formulation A,680.042,0.03681
Formulation A,680.814,0.03939
Formulation A,681.587,0.04151
Formulation A,682.359,0.04314
Formulation A,683.132,0.04427
Formulation A,683.904,0.04488
Formulation A,684.676,0.04497
Formulation A,685.449,0.04453
Formulation A,686.221,0.04357
Formulation A,686.994,0.04211
Formulation A,687.766,0.04015
Formulation A,688.539,0.03772
Formulation A,689.311,0.03485
Formulation A,690.084,0.03157
Formulation A,690.856,0.02793
Formulation A,691.628,0.02396
Formulation A,692.401,0.01971
Formulation A,693.173,0.01522
Formulation A,693.946,0.01056
Formulation A,694.718,0.00578
Formulation A,695.491,0.00093
Formulation A,696.263,-0.00393
Formulation A,697.035,-0.00874
Formulation A,697.808,-0.01346
Formulation A,698.58,-0.01801
Formulation A,699.353,-0.02235
Formulation A,700.125,-0.02643
Formulation A,700.898,-0.03021
Formulation A,701.67,-0.03362
Formulation A,702.443,-0.03665
Formulation A,703.215,-0.03924
Formulation A,703.987,-0.04137
Formulation A,704.76,-0.04301
Formulation A,705.532,-0.04415
Formulation A,706.305,-0.04476
Formulation A,707.077,-0.04485
Formulation A,707.85,-0.04439
Formulation A,708.622,-0.04341
Formulation A,709.395,-0.0419
Formulation A,710.167,-0.03988
Formulation A,710.939,-0.03737
Formulation A,711.712,-0.03439
Formulation A,712.484,-0.03097
Formulation A,713.257,-0.02713
Formulation A,714.029,-0.02292
Formulation A,714.802,-0.01836
Formulation A,715.574,-0.01349
Formulation A,716.347,-0.00836
Formulation A,717.119,-0.00299
Formulation A,717.891,0.00258
Formulation A,718.664,0.0083
Formulation A,719.436,0.01417
Formulation A,720.209,0.02014
Formulation A,720.981,0.02619
Formulation A,721.754,0.03232
Formulation A,722.526,0.03851
Formulation A,723.299,0.04476
Formulation A,724.071,0.05109
Formulation A,724.843,0.05749
Formulation A,725.616,0.06401
Formulation A,726.388,0.07068
Formulation A,727.161,0.07753
Formulation A,727.933,0.08462
Formulation A,728.706,0.09201
Formulation A,729.478,0.09976
Formulation A,730.251,0.10796
Formulation A,731.023,0.11668
Formulation A,731.795,0.126
Formulation A,732.568,0.13601
Formulation A,733.34,0.1468
Formulation A,734.113,0.15844
Formulation A,734.885,0.17102
Formulation A,735.658,0.18461
Formulation A,736.43,0.19926
Formulation A,737.203,0.21503
Formulation A,737.975,0.23196
Formulation A,738.747,0.25006
Formulation A,739.52,0.26932
Formulation A,740.292,0.28974
Formulation A,741.065,0.31126
Formulation A,741.837,0.33381
Formulation A,742.61,0.3573
Formulation A,743.382,0.38161
Formulation A,744.154,0.40661
Formulation A,744.927,0.43211
Formulation A,745.699,0.45794
Formulation A,746.472,0.4839
Formulation A,747.244,0.50974
Formulation A,748.017,0.53525
Formulation A,748.789,0.56016
Formulation A,749.562,0.58423
Formulation A,750.334,0.60721
Formulation A,751.106,0.62883
Formulation A,751.879,0.64886
Formulation A,752.651,0.66707
Formulation A,753.424,0.68324
Formulation A,754.196,0.69717
Formulation A,754.969,0.70871
Formulation A,755.741,0.71771
Formulation A,756.514,0.72406
Formulation A,757.286,0.72769
Formulation A,758.058,0.72855
Formulation A,758.831,0.72663
Formulation A,759.603,0.72196
Formulation A,760.376,0.7146
Formulation A,761.148,0.70464
Formulation A,761.921,0.6922
Formulation A,762.693,0.67744
Formulation A,763.466,0.66051
Formulation A,764.238,0.64162
Formulation A,765.01,0.62096
Formulation A,765.783,0.59876
Formulation A,766.555,0.57523
Formulation A,767.328,0.55061
Formulation A,768.1,0.52513
Formulation A,768.873,0.499
Formulation A,769.645,0.47244
Formulation A,770.418,0.44566
Formulation A,771.19,0.41884
Formulation A,771.962,0.39217
Formulation A,772.735,0.36579
Formulation A,773.507,0.33986
Formulation A,774.28,0.31449
Formulation A,775.052,0.28979
Formulation A,775.825,0.26585
Formulation A,776.597,0.24275
Formulation A,777.37,0.22052
Formulation A,778.142,0.19923
Formulation A,778.914,0.17889
Formulation A,779.687,0.15952
Formulation A,780.459,0.14113
Formulation A,781.232,0.12372
Formulation A,782.004,0.10729
Formulation A,782.777,0.09181
Formulation A,783.549,0.07727
Formulation A,784.322,0.06367
Formulation A,785.094,0.05096
Formulation A,785.866,0.03915
Formulation A,786.639,0.02821
Formulation A,787.411,0.01812
Formulation A,788.184,0.00886
Formulation A,788.956,0.00042
Formulation A,789.729,-0.00721
Formulation A,790.501,-0.01405
Formulation A,791.273,-0.02011
Formulation A,792.046,-0.02541
Formulation A,792.818,-0.02994
Formulation A,793.591,-0.03374
Formulation A,794.363,-0.03681
Formulation A,795.136,-0.03916
Formulation A,795.908,-0.04081
Formulation A,796.681,-0.04178
Formulation A,797.453,-0.04209
Formulation A,798.225,-0.04177
Formulation A,798.998,-0.04084
Formulation A,799.77,-0.03934
Formulation A,800.543,-0.0373
Formulation A,801.315,-0.03475
Formulation A,802.088,-0.03174
Formulation A,802.86,-0.02832
Formulation A,803.633,-0.02452
Formulation A,804.405,-0.02041
Formulation A,805.177,-0.01604
Formulation A,805.95,-0.01145
Formulation A,806.722,-0.00671
Formulation A,807.495,-0.00187
Formulation A,808.267,0.003
Formulation A,809.04,0.00786
Formulation A,809.812,0.01265
Formulation A,810.585,0.0173
Formulation A,811.357,0.02177
Formulation A,812.129,0.02601
Formulation A,812.902,0.02997
Formulation A,813.674,0.03361
Formulation A,814.447,0.03688
Formulation A,815.219,0.03976
Formulation A,815.992,0.04222
Formulation A,816.764,0.04424
Formulation A,817.537,0.04579
Formulation A,818.309,0.04687
Formulation A,819.081,0.04748
Formulation A,819.854,0.04762
Formulation A,820.626,0.0473
Formulation A,821.399,0.04654
Formulation A,822.171,0.04535
Formulation A,822.944,0.04378
Formulation A,823.716,0.04186
Formulation A,824.489,0.03963
Formulation A,825.261,0.03714
Formulation A,826.033,0.03444
Formulation A,826.806,0.0316
Formulation A,827.578,0.02868
Formulation A,828.351,0.02575
Formulation A,829.123,0.02287
Formulation A,829.896,0.02011
Formulation A,830.668,0.01756
Formulation A,831.441,0.01529
Formulation A,832.213,0.01338
Formulation A,832.985,0.01189
Formulation A,833.758,0.01091
Formulation A,834.53,0.0105
Formulation A,835.303,0.01073
Formulation A,836.075,0.01168
Formulation A,836.848,0.01339
Formulation A,837.62,0.01594
Formulation A,838.392,0.01935
Formulation A,839.165,0.02369
Formulation A,839.937,0.02898
Formulation A,840.71,0.03526
Formulation A,841.482,0.04253
Formulation A,842.255,0.05083
Formulation A,843.027,0.06014
Formulation A,843.8,0.07047
Formulation A,844.572,0.08179
Formulation A,845.344,0.09409
Formulation A,846.117,0.10732
Formulation A,846.889,0.12144
Formulation A,847.662,0.13641
Formulation A,848.434,0.15215
Formulation A,849.207,0.16859
Formulation A,849.979,0.18567
Formulation A,850.752,0.20328
Formulation A,851.524,0.22133
Formulation A,852.296,0.23973
Formulation A,853.069,0.25837
Formulation A,853.841,0.27714
Formulation A,854.614,0.29591
Formulation A,855.386,0.31458
Formulation A,856.159,0.33303
Formulation A,856.931,0.35113
Formulation A,857.704,0.36876
Formulation A,858.476,0.38581
Formulation A,859.248,0.40217
Formulation A,860.021,0.41771
Formulation A,860.793,0.43234
Formulation A,861.566,0.44595
Formulation A,862.338,0.45845
Formulation A,863.111,0.46975
Formulation A,863.883,0.47979
Formulation A,864.656,0.48848
Formulation A,865.428,0.49578
Formulation A,866.2,0.50164
Formulation A,866.973,0.50603
Formulation A,867.745,0.50893
Formulation A,868.518,0.51032
Formulation A,869.29,0.51021
Formulation A,870.063,0.50862
Formulation A,870.835,0.50558
Formulation A,871.608,0.50111
Formulation A,872.38,0.49528
Formulation A,873.152,0.48815
Formulation A,873.925,0.47978
Formulation A,874.697,0.47025
Formulation A,875.47,0.45967
Formulation A,876.242,0.44811
Formulation A,877.015,0.43569
Formulation A,877.787,0.42251
Formulation A,878.559,0.40868
Formulation A,879.332,0.39431
