x_um,y_um,LiF2_minus_relative_signal,C2HO_minus_relative_signal
0.0,0.0,0.11154,0.16079
0.6711,0.0,0.15814,0.14336
1.3423,0.0,0.15618,0.15284
2.0134,0.0,0.09243,0.19645
2.6846,0.0,0.18486,0.15301
3.3557,0.0,0.17265,0.16724
4.0268,0.0,0.17036,0.17541
4.698,0.0,0.2058,0.16199
5.3691,0.0,0.22847,0.15493
6.0403,0.0,0.20218,0.17428
6.7114,0.0,0.15575,0.20397
7.3826,0.0,0.18621,0.19009
8.0537,0.0,0.21848,0.17433
8.7248,0.0,0.22275,0.17326
9.396,0.0,0.16369,0.20652
10.0671,0.0,0.14638,0.21581
10.7383,0.0,0.18155,0.19522
11.4094,0.0,0.22301,0.1705
12.0805,0.0,0.22193,0.16885
12.7517,0.0,0.1708,0.19455
13.4228,0.0,0.08513,0.23909
14.094,0.0,0.18174,0.18219
14.7651,0.0,0.1577,0.19221
15.4362,0.0,0.11391,0.21322
16.1074,0.0,0.06679,0.23625
16.7785,0.0,0.09615,0.21706
17.4497,0.0,0.12271,0.19982
18.1208,0.0,0.10559,0.20732
18.7919,0.0,0.07643,0.22208
19.4631,0.0,0.06552,0.22735
20.1342,0.0,0.01985,0.25262
20.8054,0.0,0.02144,0.25238
21.4765,0.0,0.05006,0.23789
22.1477,0.0,0.12393,0.19903
22.8188,0.0,0.09078,0.22035
23.4899,0.0,0.08933,0.22477
24.1611,0.0,0.09796,0.22424
24.8322,0.0,0.14065,0.20538
25.5034,0.0,0.09584,0.2356
26.1745,0.0,0.14579,0.21359
26.8456,0.0,0.06159,0.26637
27.5168,0.0,0.13893,0.22957
28.1879,0.0,0.11974,0.24642
28.8591,0.0,0.18008,0.219
29.5302,0.0,0.24398,0.18936
30.2013,0.0,0.1495,0.24732
30.8725,0.0,0.17972,0.23552
31.5436,0.0,0.06005,0.30637
32.2148,0.0,0.21248,0.22536
32.8859,0.0,0.2062,0.23169
33.557,0.0,0.20619,0.23364
34.2282,0.0,0.162,0.25917
34.8993,0.0,0.11981,0.28258
35.5705,0.0,0.18928,0.24295
36.2416,0.0,0.21591,0.22608
36.9128,0.0,0.22249,0.21931
37.5839,0.0,0.20889,0.22277
38.255,0.0,0.22678,0.2078
38.9262,0.0,0.20815,0.21224
39.5973,0.0,0.1104,0.25986
40.2685,0.0,0.19204,0.20717
40.9396,0.0,0.23287,0.17659
41.6107,0.0,0.13508,0.22257
42.2819,0.0,0.10067,0.23306
42.953,0.0,0.18531,0.17727
43.6242,0.0,0.16574,0.17936
44.2953,0.0,0.12041,0.19589
44.9664,0.0,0.10938,0.19363
