cycle,A_mAh_g,B_mAh_g
1,180.49552,178.48846
2,181.41538,178.92908
3,182.04911,179.39274
4,182.44885,179.83158
5,182.79767,180.28461
6,182.96425,180.4118
7,183.14021,180.57181
8,183.26211,180.84002
9,183.27967,180.96745
10,183.38984,181.01613
11,183.33032,181.26414
12,183.26635,181.16123
13,183.28779,181.05562
14,183.30097,181.0694
15,183.43714,181.02403
16,183.41245,180.95326
17,183.53919,180.95607
18,183.52026,180.92859
19,183.47964,180.96179
20,183.51591,181.03693
21,183.49749,180.87331
22,183.50556,180.90108
23,183.43591,180.86532
24,183.4422,180.74919
25,183.44817,180.79311
26,183.34836,180.72009
27,183.33,180.88231
28,183.18614,180.76059
29,183.21865,180.67003
30,183.15884,180.56345
31,183.17317,180.58831
32,183.1725,180.41508
33,183.31475,180.35678
34,183.19813,180.33959
35,183.06368,180.23902
36,183.10605,180.38193
37,183.10566,180.25882
38,183.38962,180.16904
39,183.35168,180.24474
40,183.26938,180.20562
41,183.01706,180.32529
42,183.05539,180.32016
43,182.95523,180.32014
44,183.03854,180.29527
45,183.06819,180.16817
46,183.11122,180.19664
47,183.23943,180.19588
48,183.34118,180.26324
49,183.39316,180.1895
50,183.33001,180.01875
51,183.24988,180.06461
52,183.30927,180.11054
53,183.31383,179.88853
54,183.21508,179.83383
55,183.14587,179.85068
56,183.01715,179.78868
57,182.93535,179.79761
58,182.93616,179.75086
59,182.80468,179.78381
60,182.73771,179.78677
61,182.7065,179.84452
62,182.66501,179.66709
63,182.60435,179.77716
64,182.65976,179.68553
65,182.57264,179.74899
66,182.67633,179.56622
67,182.69032,179.35558
68,182.84372,179.21041
69,182.92748,179.18083
70,182.89923,179.17192
71,182.71355,179.24728
72,182.64943,179.38332
73,182.6193,179.18481
74,182.56287,179.06174
75,182.6433,179.08853
76,182.57556,179.08726
77,182.71484,179.03252
78,182.51673,179.12715
79,182.50306,178.98298
80,182.42552,178.86806
81,182.50041,178.89409
82,182.54112,178.93058
83,182.46643,178.78878
84,182.4393,178.74213
85,182.41852,178.68946
86,182.38674,178.64141
87,182.48696,178.51683
88,182.47654,178.55052
89,182.57473,178.50422
90,182.45375,178.51111
91,182.28286,178.5034
92,182.35558,178.50641
93,182.28587,178.54573
94,182.24332,178.55704
95,182.13995,178.62414
96,182.23345,178.6006
97,182.28175,178.47228
98,182.24661,178.375
99,182.20543,178.17461
100,181.92557,178.09809
101,182.01835,177.9463
102,182.0171,178.02403
103,182.00411,177.98536
104,182.0577,177.98672
105,182.09978,177.93657
106,182.08012,177.89878
107,182.08019,177.86532
108,181.96471,177.89468
109,182.07495,178.01034
110,182.13698,177.96435
111,182.27018,178.06041
112,182.24316,178.01579
113,182.14056,177.96281
114,182.09653,177.85508
115,182.06332,177.86023
116,181.98849,177.79751
117,181.96452,177.77286
118,181.87999,177.65638
119,181.90888,177.53531
120,181.87199,177.40689
121,181.79054,177.50333
122,181.65724,177.34422
123,181.66286,177.31321
124,181.71408,177.26433
125,181.52572,177.11568
126,181.42259,177.07962
127,181.43551,177.21991
128,181.48788,177.18771
129,181.59478,177.28952
130,181.54425,177.13886
131,181.48504,177.16269
132,181.52724,176.98891
133,181.55941,176.68927
134,181.58947,176.68958
135,181.37332,176.64119
136,181.37564,176.70864
137,181.41552,176.81072
138,181.21262,176.81764
139,181.25391,176.8191
140,181.25672,176.7004
141,181.35906,176.66264
142,181.23784,176.77183
143,181.16869,176.68652
144,181.24007,176.86952
145,181.21165,176.7258
146,181.33044,176.66143
147,181.30548,176.52685
148,181.19216,176.5448
149,181.18367,176.39241
150,181.12417,176.33164
151,180.98719,176.40309
152,181.11622,176.36605
153,181.25108,176.20616
154,181.19824,176.19135
155,181.1725,176.12559
156,181.14474,176.25071
157,181.0404,176.02496
158,180.97455,176.02419
159,180.80404,176.0488
160,180.68403,175.92264
161,180.66966,175.80424
162,180.74292,175.92944
163,180.71932,175.78411
164,180.54859,175.70336
165,180.57834,175.75322
166,180.69953,175.8873
167,180.70035,175.71652
168,180.64595,175.70824
169,180.50964,175.7851
170,180.49703,175.68056
171,180.4755,175.71335
172,180.38601,175.68042
173,180.50068,175.67078
174,180.47575,175.55066
175,180.53071,175.53888
176,180.53062,175.6566
177,180.43019,175.56287
178,180.36577,175.7292
179,180.41816,175.54659
180,180.3538,175.43721
181,180.34425,175.5026
182,180.38434,175.39883
183,180.22878,175.40756
184,180.24177,175.27133
185,180.22577,175.21484
186,180.25963,175.17774
187,180.36645,175.23401
188,180.18656,175.06137
189,180.20193,174.9425
190,180.21604,175.10814
191,180.32333,175.09007
192,180.35302,174.76445
193,180.36288,174.8041
194,180.31294,174.72615
195,180.21208,174.73118
196,180.09993,174.75016
197,180.04403,174.74414
198,179.92518,174.77338
199,179.95937,174.80601
200,179.85757,174.92059
201,179.84086,174.73753
202,179.79305,174.73843
203,179.70263,174.55466
204,179.71959,174.5804
205,179.84764,174.54947
206,179.85298,174.38324
207,179.8832,174.32954
208,179.89658,174.2825
209,179.79568,174.30031
210,179.71756,174.19308
211,179.7206,174.19759
212,179.78562,174.25639
213,179.76066,174.12729
214,179.67135,173.90218
215,179.581,173.85656
216,179.62601,173.68735
217,179.73413,173.67742
218,179.65214,173.71503
219,179.72358,173.55487
220,179.86872,173.72741
221,179.6341,173.78462
222,179.5325,173.56759
223,179.4421,173.436
224,179.44303,173.48483
225,179.36979,173.54767
226,179.32298,173.46685
227,179.34029,173.4845
228,179.32725,173.29054
229,179.25662,173.25315
230,179.30757,173.18992
231,179.24392,173.15953
232,179.1534,173.07228
233,179.12602,173.12689
234,179.05483,173.10598
235,179.02478,173.04885
