cycle,direction,capacity_mAh_g,voltage_V,cycling_endpoint_mAh_g
1,charge,0.0,3.01003,180.49552
1,charge,1.008355,3.035111,180.49552
1,charge,2.01671,3.059451,180.49552
1,charge,3.025065,3.083074,180.49552
1,charge,4.033419,3.106005,180.49552
1,charge,5.041774,3.128269,180.49552
1,charge,6.050129,3.149887,180.49552
1,charge,7.058484,3.170883,180.49552
1,charge,8.066839,3.191276,180.49552
1,charge,9.075194,3.211089,180.49552
1,charge,10.083549,3.230341,180.49552
1,charge,11.091903,3.249051,180.49552
1,charge,12.100258,3.267238,180.49552
1,charge,13.108613,3.28492,180.49552
1,charge,14.116968,3.302114,180.49552
1,charge,15.125323,3.318837,180.49552
1,charge,16.133678,3.335104,180.49552
1,charge,17.142033,3.350933,180.49552
1,charge,18.150387,3.366337,180.49552
1,charge,19.158742,3.381331,180.49552
1,charge,20.167097,3.39593,180.49552
1,charge,21.175452,3.410147,180.49552
1,charge,22.183807,3.423995,180.49552
1,charge,23.192162,3.437486,180.49552
1,charge,24.200517,3.450633,180.49552
1,charge,25.208872,3.463448,180.49552
1,charge,26.217226,3.475942,180.49552
1,charge,27.225581,3.488127,180.49552
1,charge,28.233936,3.500012,180.49552
1,charge,29.242291,3.511608,180.49552
1,charge,30.250646,3.522925,180.49552
1,charge,31.259001,3.533972,180.49552
1,charge,32.267356,3.54476,180.49552
1,charge,33.27571,3.555296,180.49552
1,charge,34.284065,3.565589,180.49552
1,charge,35.29242,3.575648,180.49552
1,charge,36.300775,3.585481,180.49552
1,charge,37.30913,3.595095,180.49552
1,charge,38.317485,3.604498,180.49552
1,charge,39.32584,3.613697,180.49552
1,charge,40.334194,3.6227,180.49552
1,charge,41.342549,3.631512,180.49552
1,charge,42.350904,3.640141,180.49552
1,charge,43.359259,3.648593,180.49552
1,charge,44.367614,3.656873,180.49552
1,charge,45.375969,3.664988,180.49552
1,charge,46.384324,3.672944,180.49552
1,charge,47.392678,3.680746,180.49552
1,charge,48.401033,3.688398,180.49552
1,charge,49.409388,3.695907,180.49552
1,charge,50.417743,3.703277,180.49552
1,charge,51.426098,3.710513,180.49552
1,charge,52.434453,3.71762,180.49552
1,charge,53.442808,3.724601,180.49552
1,charge,54.451162,3.731462,180.49552
1,charge,55.459517,3.738207,180.49552
1,charge,56.467872,3.744838,180.49552
1,charge,57.476227,3.751361,180.49552
1,charge,58.484582,3.757779,180.49552
1,charge,59.492937,3.764096,180.49552
1,charge,60.501292,3.770315,180.49552
1,charge,61.509646,3.776439,180.49552
1,charge,62.518001,3.782472,180.49552
1,charge,63.526356,3.788417,180.49552
1,charge,64.534711,3.794276,180.49552
1,charge,65.543066,3.800054,180.49552
1,charge,66.551421,3.805752,180.49552
1,charge,67.559776,3.811373,180.49552
1,charge,68.568131,3.816921,180.49552
1,charge,69.576485,3.822397,180.49552
1,charge,70.58484,3.827803,180.49552
1,charge,71.593195,3.833143,180.49552
1,charge,72.60155,3.838419,180.49552
1,charge,73.609905,3.843633,180.49552
1,charge,74.61826,3.848786,180.49552
1,charge,75.626615,3.853882,180.49552
1,charge,76.634969,3.858921,180.49552
1,charge,77.643324,3.863907,180.49552
1,charge,78.651679,3.86884,180.49552
1,charge,79.660034,3.873723,180.49552
1,charge,80.668389,3.878557,180.49552
1,charge,81.676744,3.883344,180.49552
1,charge,82.685099,3.888086,180.49552
1,charge,83.693453,3.892784,180.49552
1,charge,84.701808,3.897439,180.49552
1,charge,85.710163,3.902054,180.49552
1,charge,86.718518,3.906629,180.49552
1,charge,87.726873,3.911166,180.49552
1,charge,88.735228,3.915666,180.49552
1,charge,89.743583,3.92013,180.49552
1,charge,90.751937,3.924561,180.49552
1,charge,91.760292,3.928958,180.49552
1,charge,92.768647,3.933323,180.49552
1,charge,93.777002,3.937657,180.49552
1,charge,94.785357,3.941961,180.49552
1,charge,95.793712,3.946236,180.49552
1,charge,96.802067,3.950484,180.49552
1,charge,97.810421,3.954705,180.49552
1,charge,98.818776,3.958899,180.49552
1,charge,99.827131,3.963069,180.49552
1,charge,100.835486,3.967214,180.49552
1,charge,101.843841,3.971336,180.49552
1,charge,102.852196,3.975436,180.49552
1,charge,103.860551,3.979513,180.49552
1,charge,104.868905,3.98357,180.49552
1,charge,105.87726,3.987606,180.49552
1,charge,106.885615,3.991622,180.49552
1,charge,107.89397,3.99562,180.49552
1,charge,108.902325,3.999599,180.49552
1,charge,109.91068,4.003561,180.49552
1,charge,110.919035,4.007505,180.49552
1,charge,111.927389,4.011433,180.49552
1,charge,112.935744,4.015345,180.49552
1,charge,113.944099,4.019242,180.49552
1,charge,114.952454,4.023124,180.49552
1,charge,115.960809,4.026991,180.49552
1,charge,116.969164,4.030845,180.49552
1,charge,117.977519,4.034685,180.49552
1,charge,118.985874,4.038512,180.49552
1,charge,119.994228,4.042327,180.49552
1,charge,121.002583,4.04613,180.49552
1,charge,122.010938,4.049921,180.49552
1,charge,123.019293,4.053701,180.49552
1,charge,124.027648,4.05747,180.49552
1,charge,125.036003,4.061228,180.49552
1,charge,126.044358,4.064977,180.49552
1,charge,127.052712,4.068716,180.49552
1,charge,128.061067,4.072445,180.49552
1,charge,129.069422,4.076165,180.49552
1,charge,130.077777,4.079876,180.49552
1,charge,131.086132,4.083579,180.49552
1,charge,132.094487,4.087274,180.49552
1,charge,133.102842,4.09096,180.49552
1,charge,134.111196,4.094639,180.49552
1,charge,135.119551,4.098311,180.49552
1,charge,136.127906,4.101976,180.49552
1,charge,137.136261,4.105633,180.49552
1,charge,138.144616,4.109284,180.49552
1,charge,139.152971,4.112929,180.49552
