sample,cycle,stage,capacity_mAh_cm2,voltage_V,cycle_ce_pct
A,1,plate,0.0,-0.073,98.27
A,1,plate,0.010101,-0.069419,98.27
A,1,plate,0.020202,-0.066344,98.27
A,1,plate,0.030303,-0.063707,98.27
A,1,plate,0.040404,-0.061448,98.27
A,1,plate,0.0505051,-0.059518,98.27
A,1,plate,0.0606061,-0.057871,98.27
A,1,plate,0.0707071,-0.05647,98.27
A,1,plate,0.0808081,-0.055281,98.27
A,1,plate,0.0909091,-0.054277,98.27
A,1,plate,0.1010101,-0.053432,98.27
A,1,plate,0.1111111,-0.052725,98.27
A,1,plate,0.1212121,-0.052138,98.27
A,1,plate,0.1313131,-0.051654,98.27
A,1,plate,0.1414141,-0.051259,98.27
A,1,plate,0.1515152,-0.050942,98.27
A,1,plate,0.1616162,-0.050692,98.27
A,1,plate,0.1717172,-0.0505,98.27
A,1,plate,0.1818182,-0.050358,98.27
A,1,plate,0.1919192,-0.050259,98.27
A,1,plate,0.2020202,-0.050199,98.27
A,1,plate,0.2121212,-0.050171,98.27
A,1,plate,0.2222222,-0.050171,98.27
A,1,plate,0.2323232,-0.050195,98.27
A,1,plate,0.2424242,-0.050241,98.27
A,1,plate,0.2525253,-0.050305,98.27
A,1,plate,0.2626263,-0.050385,98.27
A,1,plate,0.2727273,-0.050478,98.27
A,1,plate,0.2828283,-0.050583,98.27
A,1,plate,0.2929293,-0.050699,98.27
A,1,plate,0.3030303,-0.050824,98.27
A,1,plate,0.3131313,-0.050956,98.27
A,1,plate,0.3232323,-0.051095,98.27
A,1,plate,0.3333333,-0.051239,98.27
A,1,plate,0.3434343,-0.051389,98.27
A,1,plate,0.3535354,-0.051543,98.27
A,1,plate,0.3636364,-0.051701,98.27
A,1,plate,0.3737374,-0.051862,98.27
A,1,plate,0.3838384,-0.052025,98.27
A,1,plate,0.3939394,-0.052192,98.27
A,1,plate,0.4040404,-0.05236,98.27
A,1,plate,0.4141414,-0.05253,98.27
A,1,plate,0.4242424,-0.052702,98.27
A,1,plate,0.4343434,-0.052875,98.27
A,1,plate,0.4444444,-0.053049,98.27
A,1,plate,0.4545455,-0.053224,98.27
A,1,plate,0.4646465,-0.0534,98.27
A,1,plate,0.4747475,-0.053577,98.27
A,1,plate,0.4848485,-0.053755,98.27
A,1,plate,0.4949495,-0.053933,98.27
A,1,plate,0.5050505,-0.054112,98.27
