sample,time_h,half_cycle,current_mA_cm2,fraction_of_half_cycle,voltage_mV
A,0.0,1,1.0,0.0,28.22
A,0.020408,1,1.0,0.020408,29.52144
A,0.040816,1,1.0,0.040816,30.52985
A,0.061224,1,1.0,0.061224,31.31123
A,0.081633,1,1.0,0.081633,31.91673
A,0.102041,1,1.0,0.102041,32.38601
A,0.122449,1,1.0,0.122449,32.7498
A,0.142857,1,1.0,0.142857,33.03196
A,0.163265,1,1.0,0.163265,33.25098
A,0.183673,1,1.0,0.183673,33.42123
A,0.204082,1,1.0,0.204082,33.55387
A,0.22449,1,1.0,0.22449,33.65757
A,0.244898,1,1.0,0.244898,33.7391
A,0.265306,1,1.0,0.265306,33.80374
A,0.285714,1,1.0,0.285714,33.85562
A,0.306122,1,1.0,0.306122,33.89797
A,0.326531,1,1.0,0.326531,33.93336
A,0.346939,1,1.0,0.346939,33.96381
A,0.367347,1,1.0,0.367347,33.99095
A,0.387755,1,1.0,0.387755,34.0161
A,0.408163,1,1.0,0.408163,34.04033
A,0.428571,1,1.0,0.428571,34.06451
A,0.44898,1,1.0,0.44898,34.08942
A,0.469388,1,1.0,0.469388,34.11568
A,0.489796,1,1.0,0.489796,34.14387
A,0.510204,1,1.0,0.510204,34.17449
A,0.530612,1,1.0,0.530612,34.208
A,0.55102,1,1.0,0.55102,34.24485
A,0.571429,1,1.0,0.571429,34.28544
A,0.591837,1,1.0,0.591837,34.33018
A,0.612245,1,1.0,0.612245,34.37944
A,0.632653,1,1.0,0.632653,34.43362
A,0.653061,1,1.0,0.653061,34.4931
A,0.673469,1,1.0,0.673469,34.55828
A,0.693878,1,1.0,0.693878,34.62953
A,0.714286,1,1.0,0.714286,34.70727
A,0.734694,1,1.0,0.734694,34.7919
A,0.755102,1,1.0,0.755102,34.88382
A,0.77551,1,1.0,0.77551,34.98347
A,0.795918,1,1.0,0.795918,35.09127
A,0.816327,1,1.0,0.816327,35.20767
A,0.836735,1,1.0,0.836735,35.33311
A,0.857143,1,1.0,0.857143,35.46806
A,0.877551,1,1.0,0.877551,35.61299
A,0.897959,1,1.0,0.897959,35.76838
A,0.918367,1,1.0,0.918367,35.93473
A,0.938776,1,1.0,0.938776,36.11255
A,0.959184,1,1.0,0.959184,36.30234
A,0.979592,1,1.0,0.979592,36.50464
A,1.0,1,1.0,1.0,36.71998
A,1.0,2,-1.0,0.0,-28.44255
A,1.020408,2,-1.0,0.020408,-29.75425
A,1.040816,2,-1.0,0.040816,-30.77062
A,1.061224,2,-1.0,0.061224,-31.55816
A,1.081633,2,-1.0,0.081633,-32.16843
A,1.102041,2,-1.0,0.102041,-32.64141
A,1.122449,2,-1.0,0.122449,-33.00807
A,1.142857,2,-1.0,0.142857,-33.29246
A,1.163265,2,-1.0,0.163265,-33.5132
A,1.183673,2,-1.0,0.183673,-33.6848
A,1.204082,2,-1.0,0.204082,-33.81848
A,1.22449,2,-1.0,0.22449,-33.923
A,1.244898,2,-1.0,0.244898,-34.00518
A,1.265306,2,-1.0,0.265306,-34.07033
A,1.285714,2,-1.0,0.285714,-34.12261
A,1.306122,2,-1.0,0.306122,-34.16529
A,1.326531,2,-1.0,0.326531,-34.20096
A,1.346939,2,-1.0,0.346939,-34.23166
A,1.367347,2,-1.0,0.367347,-34.25901
A,1.387755,2,-1.0,0.387755,-34.28436
A,1.408163,2,-1.0,0.408163,-34.30877
A,1.428571,2,-1.0,0.428571,-34.33315
A,1.44898,2,-1.0,0.44898,-34.35825
A,1.469388,2,-1.0,0.469388,-34.38472
A,1.489796,2,-1.0,0.489796,-34.41313
A,1.510204,2,-1.0,0.510204,-34.44399
A,1.530612,2,-1.0,0.530612,-34.47778
A,1.55102,2,-1.0,0.55102,-34.51491
A,1.571429,2,-1.0,0.571429,-34.55583
A,1.591837,2,-1.0,0.591837,-34.60091
A,1.612245,2,-1.0,0.612245,-34.65056
A,1.632653,2,-1.0,0.632653,-34.70517
A,1.653061,2,-1.0,0.653061,-34.76512
A,1.673469,2,-1.0,0.673469,-34.83081
A,1.693878,2,-1.0,0.693878,-34.90263
