soc_fraction,two_theta_deg,intensity_au
0.0,35.3,0.045
0.0,35.347699,0.045
0.0,35.395397,0.045
0.0,35.443096,0.045
0.0,35.490795,0.045
0.0,35.538494,0.045
0.0,35.586192,0.045
0.0,35.633891,0.045
0.0,35.68159,0.045
0.0,35.729289,0.045
0.0,35.776987,0.045
0.0,35.824686,0.045
0.0,35.872385,0.045
0.0,35.920084,0.045
0.0,35.967782,0.045
0.0,36.015481,0.045
0.0,36.06318,0.045
0.0,36.110879,0.045
0.0,36.158577,0.045
0.0,36.206276,0.045
0.0,36.253975,0.045
0.0,36.301674,0.0450001
0.0,36.349372,0.0450004
0.0,36.397071,0.045003
0.0,36.44477,0.0450177
0.0,36.492469,0.0450913
0.0,36.540167,0.0454116
0.0,36.587866,0.0466223
0.0,36.635565,0.0505892
0.0,36.683264,0.0618312
0.0,36.730962,0.0893008
0.0,36.778661,0.1469157
0.0,36.82636,0.2499289
0.0,36.874059,0.4051624
0.0,36.921757,0.5982562
0.0,36.969456,0.7878262
0.0,37.017155,0.916728
0.0,37.064854,0.9391444
0.0,37.112552,0.8466176
0.0,37.160251,0.6731448
0.0,37.20795,0.4752146
0.0,37.255649,0.3025393
0.0,37.303347,0.1797518
0.0,37.351046,0.1066253
0.0,37.398745,0.0696329
0.0,37.446444,0.0536061
0.0,37.494142,0.047628
0.0,37.541841,0.0457014
0.0,37.58954,0.0451636
0.0,37.637238,0.0450334
0.0,37.684937,0.0450059
0.0,37.732636,0.0450009
0.0,37.780335,0.0450001
0.0,37.828033,0.045
0.0,37.875732,0.045
0.0,37.923431,0.045
0.0,37.97113,0.045
0.0,38.018828,0.045
0.0,38.066527,0.045
0.0,38.114226,0.045
0.0,38.161925,0.045
0.0,38.209623,0.045
0.0,38.257322,0.045
0.0,38.305021,0.045
0.0,38.35272,0.045
0.0,38.400418,0.045
0.0,38.448117,0.045
0.0,38.495816,0.045
0.0,38.543515,0.045
0.0,38.591213,0.045
0.0,38.638912,0.045
0.0,38.686611,0.045
0.0,38.73431,0.045
0.0,38.782008,0.045
0.0,38.829707,0.045
0.0,38.877406,0.045
0.0,38.925105,0.045
0.0,38.972803,0.045
0.0,39.020502,0.045
0.0,39.068201,0.045
0.0,39.1159,0.045
0.0,39.163598,0.045
0.0,39.211297,0.045
0.0,39.258996,0.045
0.0,39.306695,0.045
0.0,39.354393,0.045
0.0,39.402092,0.045
0.0,39.449791,0.045
0.0,39.49749,0.045
0.0,39.545188,0.045
0.0,39.592887,0.045
0.0,39.640586,0.045
0.0,39.688285,0.045
0.0,39.735983,0.045
0.0,39.783682,0.045
0.0,39.831381,0.045
0.0,39.879079,0.045
0.0,39.926778,0.045
0.0,39.974477,0.045
0.0,40.022176,0.045
0.0,40.069874,0.045
0.0,40.117573,0.045
0.0,40.165272,0.045
0.0,40.212971,0.045
0.0,40.260669,0.045
0.0,40.308368,0.045
0.0,40.356067,0.045
0.0,40.403766,0.045
0.0,40.451464,0.045
0.0,40.499163,0.045
0.0,40.546862,0.045
0.0,40.594561,0.045
0.0,40.642259,0.045
0.0,40.689958,0.045
0.0,40.737657,0.045
0.0,40.785356,0.045
0.0,40.833054,0.045
0.0,40.880753,0.045
0.0,40.928452,0.045
0.0,40.976151,0.045
0.0,41.023849,0.045
0.0,41.071548,0.045
0.0,41.119247,0.045
0.0,41.166946,0.045
0.0,41.214644,0.045
0.0,41.262343,0.045
0.0,41.310042,0.045
0.0,41.357741,0.045
0.0,41.405439,0.045
0.0,41.453138,0.045
0.0,41.500837,0.045
0.0,41.548536,0.045
0.0,41.596234,0.045
0.0,41.643933,0.045
0.0,41.691632,0.045
0.0,41.739331,0.045
0.0,41.787029,0.045
0.0,41.834728,0.045
0.0,41.882427,0.045
0.0,41.930126,0.045
0.0,41.977824,0.045
0.0,42.025523,0.045
0.0,42.073222,0.045
0.0,42.120921,0.045
0.0,42.168619,0.045
0.0,42.216318,0.045
0.0,42.264017,0.045
0.0,42.311715,0.045
0.0,42.359414,0.045
0.0,42.407113,0.045
0.0,42.454812,0.045
0.0,42.50251,0.045
0.0,42.550209,0.045
0.0,42.597908,0.045
0.0,42.645607,0.045
0.0,42.693305,0.045
0.0,42.741004,0.045
0.0,42.788703,0.0450002
0.0,42.836402,0.0450009
0.0,42.8841,0.0450046
0.0,42.931799,0.0450207
0.0,42.979498,0.0450846
0.0,43.027197,0.0453126
0.0,43.074895,0.0460443
0.0,43.122594,0.0481529
0.0,43.170293,0.0536042
0.0,43.217992,0.0662221
0.0,43.26569,0.0923098
0.0,43.313389,0.1403233
0.0,43.361088,0.2185929
0.0,43.408787,0.3307259
0.0,43.456485,0.4700616
0.0,43.504184,0.6165298
0.0,43.551883,0.7395614
0.0,43.599582,0.8078991
0.0,43.64728,0.8023703
0.0,43.694979,0.72457
0.0,43.742678,0.5961183
0.0,43.790377,0.4489617
0.0,43.838075,0.312621
0.0,43.885774,0.2052452
0.0,43.933473,0.131723
0.0,43.981172,0.0874198
0.0,44.02887,0.0637537
0.0,44.076569,0.0524936
0.0,44.124268,0.0477063
0.0,44.171967,0.0458834
0.0,44.219665,0.0452606
0.0,44.267364,0.0450695
0.0,44.315063,0.0450167
0.0,44.362762,0.0450036
0.0,44.41046,0.0450007
0.0,44.458159,0.0450001
0.0,44.505858,0.045
0.0,44.553556,0.045
0.0,44.601255,0.045
0.0,44.648954,0.045
0.0,44.696653,0.045
0.0,44.744351,0.045
0.0,44.79205,0.045
0.0,44.839749,0.045
0.0,44.887448,0.045
0.0,44.935146,0.045
