time_min,Tmax_C,Tmin_C,Tmean_C
0.0,25.0,25.0,25.0
0.5,25.8233,25.28635,25.42224
1.0,26.60211,25.55723,25.82167
1.5,27.33884,25.81347,26.19951
2.0,28.03575,26.05586,26.55693
2.5,28.69499,26.28516,26.89504
3.0,29.31862,26.50206,27.21487
3.5,29.90854,26.70724,27.51742
4.0,30.46658,26.90133,27.80362
4.5,30.99446,27.08494,28.07436
5.0,31.49382,27.25862,28.33046
5.5,31.96619,27.42291,28.57272
6.0,32.41304,27.57833,28.8019
6.5,32.83574,27.72535,29.01868
7.0,33.23559,27.86442,29.22375
7.5,33.61384,27.99598,29.41774
8.0,33.97164,28.12043,29.60125
8.5,34.31011,28.23815,29.77484
9.0,34.63029,28.34951,29.93905
9.5,34.93317,28.45486,30.09438
10.0,35.21968,28.55451,30.24132
10.5,35.4907,28.64877,30.38032
11.0,35.74708,28.73794,30.51181
11.5,35.9896,28.8223,30.63619
12.0,36.21902,28.90209,30.75385
12.5,36.43604,28.97757,30.86516
13.0,36.64133,29.04897,30.97044
13.5,36.83553,29.11652,31.07004
14.0,37.01924,29.18041,31.16426
14.5,37.19301,29.24085,31.25338
15.0,37.3574,29.29803,31.33769
15.5,37.5129,29.35211,31.41744
16.0,37.66,29.40328,31.49288
16.5,37.79915,29.45167,31.56425
17.0,37.93077,29.49745,31.63175
17.5,38.05529,29.54076,31.69561
18.0,38.17308,29.58173,31.75602
18.5,38.2845,29.62048,31.81317
19.0,38.3899,29.65714,31.86722
19.5,38.4896,29.69182,31.91836
20.0,38.58392,29.72463,31.96673
20.5,38.67314,29.75566,32.01249
21.0,38.75754,29.78501,32.05577
21.5,38.83738,29.81278,32.09672
22.0,38.9129,29.83905,32.13545
22.5,38.98434,29.8639,32.17209
23.0,39.05192,29.8874,32.20675
23.5,39.11585,29.90964,32.23954
24.0,39.17632,29.93067,32.27055
24.5,39.23353,29.95057,32.29989
25.0,39.28764,29.96939,32.32765
25.5,39.33883,29.98719,32.3539
26.0,39.38726,30.00403,32.37873
26.5,39.43306,30.01997,32.40223
27.0,39.4764,30.03504,32.42445
27.5,39.51739,30.04929,32.44547
28.0,39.55616,30.06278,32.46536
28.5,39.59284,30.07554,32.48417
29.0,39.62754,30.08761,32.50196
29.5,39.66036,30.09902,32.5188
30.0,39.69141,30.10982,32.53472
