cycle,sample,stage,discharge_rate_C,capacity_mAh_g
1,A,1,0.2,173.82378
1,B,1,0.2,166.78701
2,A,1,0.2,174.58296
2,B,1,0.2,167.13253
3,A,1,0.2,174.67723
3,B,1,0.2,167.62228
4,A,1,0.2,175.0924
4,B,1,0.2,167.63655
5,A,1,0.2,175.15505
5,B,1,0.2,167.75588
6,A,1,0.2,175.4719
6,B,1,0.2,167.80975
7,A,1,0.2,175.25161
7,B,1,0.2,167.6886
8,A,1,0.2,175.2644
8,B,1,0.2,167.89651
9,A,1,0.2,175.38421
9,B,1,0.2,167.53718
10,A,1,0.2,175.44155
10,B,1,0.2,167.88738
11,A,2,0.5,166.1936
11,B,2,0.5,155.74069
12,A,2,0.5,166.8591
12,B,2,0.5,156.35148
13,A,2,0.5,167.30032
13,B,2,0.5,156.99875
14,A,2,0.5,167.13067
14,B,2,0.5,156.80923
15,A,2,0.5,167.11832
15,B,2,0.5,156.96533
16,A,2,0.5,167.7142
16,B,2,0.5,157.63518
17,A,2,0.5,167.58983
17,B,2,0.5,157.2386
18,A,2,0.5,167.11386
18,B,2,0.5,157.07843
19,A,2,0.5,167.70217
19,B,2,0.5,157.03363
20,A,2,0.5,167.13713
20,B,2,0.5,157.02666
21,A,3,1.0,157.8592
21,B,3,1.0,145.38056
22,A,3,1.0,159.18741
22,B,3,1.0,145.87007
23,A,3,1.0,159.92091
23,B,3,1.0,146.59679
24,A,3,1.0,159.6593
24,B,3,1.0,146.75392
25,A,3,1.0,159.78962
25,B,3,1.0,146.61268
26,A,3,1.0,159.68043
26,B,3,1.0,146.76852
27,A,3,1.0,159.60819
27,B,3,1.0,146.70291
28,A,3,1.0,158.77955
28,B,3,1.0,146.71538
29,A,3,1.0,159.92095
29,B,3,1.0,147.34571
30,A,3,1.0,159.66764
30,B,3,1.0,146.30863
31,A,4,2.0,150.29084
31,B,4,2.0,133.50984
32,A,4,2.0,150.40119
32,B,4,2.0,135.08895
33,A,4,2.0,150.78381
33,B,4,2.0,134.64173
34,A,4,2.0,151.11467
34,B,4,2.0,134.87143
35,A,4,2.0,151.09798
35,B,4,2.0,134.89114
36,A,4,2.0,151.41593
36,B,4,2.0,135.10913
37,A,4,2.0,151.29259
37,B,4,2.0,134.94086
38,A,4,2.0,151.06558
38,B,4,2.0,134.94812
39,A,4,2.0,151.08603
39,B,4,2.0,135.19831
40,A,4,2.0,151.36488
40,B,4,2.0,135.33466
41,A,5,5.0,137.51631
41,B,5,5.0,117.91368
42,A,5,5.0,138.4454
42,B,5,5.0,117.7739
43,A,5,5.0,138.9513
43,B,5,5.0,118.46802
44,A,5,5.0,139.56064
44,B,5,5.0,118.59339
45,A,5,5.0,139.32046
45,B,5,5.0,118.98701
46,A,5,5.0,139.53709
46,B,5,5.0,119.02574
47,A,5,5.0,139.16695
47,B,5,5.0,119.32567
48,A,5,5.0,139.26235
48,B,5,5.0,119.27762
49,A,5,5.0,139.21873
49,B,5,5.0,118.85063
50,A,5,5.0,139.11961
50,B,5,5.0,118.76864
51,A,6,0.2,173.81616
51,B,6,0.2,166.13405
52,A,6,0.2,173.99484
52,B,6,0.2,166.88908
53,A,6,0.2,174.3195
53,B,6,0.2,167.12457
54,A,6,0.2,174.2519
54,B,6,0.2,167.00027
55,A,6,0.2,173.95976
55,B,6,0.2,167.42893
56,A,6,0.2,174.55002
56,B,6,0.2,167.65522
57,A,6,0.2,175.42642
57,B,6,0.2,167.57346
58,A,6,0.2,174.77212
58,B,6,0.2,166.92059
59,A,6,0.2,174.20965
59,B,6,0.2,167.49862
60,A,6,0.2,174.67049
60,B,6,0.2,167.30024
