cycle,rate_C,capacity_mAh_g,voltage_V,cycling_endpoint_mAh_g
7,0.2,0.0,4.225442,175.251614
7,0.2,1.102211,4.221291,175.251614
7,0.2,2.204423,4.21714,175.251614
7,0.2,3.306634,4.212989,175.251614
7,0.2,4.408846,4.208838,175.251614
7,0.2,5.511057,4.204687,175.251614
7,0.2,6.613268,4.200536,175.251614
7,0.2,7.71548,4.196385,175.251614
7,0.2,8.817691,4.192234,175.251614
7,0.2,9.919903,4.188083,175.251614
7,0.2,11.022114,4.183933,175.251614
7,0.2,12.124326,4.179782,175.251614
7,0.2,13.226537,4.175631,175.251614
7,0.2,14.328748,4.17148,175.251614
7,0.2,15.43096,4.167329,175.251614
7,0.2,16.533171,4.163178,175.251614
7,0.2,17.635383,4.159027,175.251614
7,0.2,18.737594,4.154876,175.251614
7,0.2,19.839805,4.150725,175.251614
7,0.2,20.942017,4.146574,175.251614
7,0.2,22.044228,4.142423,175.251614
7,0.2,23.14644,4.138272,175.251614
7,0.2,24.248651,4.134121,175.251614
7,0.2,25.350862,4.12997,175.251614
7,0.2,26.453074,4.125819,175.251614
7,0.2,27.555285,4.121667,175.251614
7,0.2,28.657497,4.117516,175.251614
7,0.2,29.759708,4.113365,175.251614
7,0.2,30.861919,4.109214,175.251614
7,0.2,31.964131,4.105062,175.251614
7,0.2,33.066342,4.10091,175.251614
7,0.2,34.168554,4.096759,175.251614
7,0.2,35.270765,4.092607,175.251614
7,0.2,36.372977,4.088455,175.251614
7,0.2,37.475188,4.084302,175.251614
7,0.2,38.577399,4.080149,175.251614
7,0.2,39.679611,4.075996,175.251614
7,0.2,40.781822,4.071843,175.251614
7,0.2,41.884034,4.067689,175.251614
7,0.2,42.986245,4.063535,175.251614
7,0.2,44.088456,4.05938,175.251614
7,0.2,45.190668,4.055224,175.251614
7,0.2,46.292879,4.051068,175.251614
7,0.2,47.395091,4.046911,175.251614
7,0.2,48.497302,4.042753,175.251614
7,0.2,49.599513,4.038594,175.251614
7,0.2,50.701725,4.034434,175.251614
7,0.2,51.803936,4.030273,175.251614
7,0.2,52.906148,4.02611,175.251614
7,0.2,54.008359,4.021945,175.251614
7,0.2,55.110571,4.017779,175.251614
7,0.2,56.212782,4.013611,175.251614
7,0.2,57.314993,4.009441,175.251614
7,0.2,58.417205,4.005268,175.251614
7,0.2,59.519416,4.001093,175.251614
7,0.2,60.621628,3.996915,175.251614
7,0.2,61.723839,3.992734,175.251614
7,0.2,62.82605,3.988549,175.251614
7,0.2,63.928262,3.984361,175.251614
7,0.2,65.030473,3.980168,175.251614
7,0.2,66.132685,3.975971,175.251614
7,0.2,67.234896,3.97177,175.251614
7,0.2,68.337107,3.967563,175.251614
7,0.2,69.439319,3.96335,175.251614
7,0.2,70.54153,3.959131,175.251614
7,0.2,71.643742,3.954906,175.251614
7,0.2,72.745953,3.950673,175.251614
7,0.2,73.848164,3.946432,175.251614
7,0.2,74.950376,3.942183,175.251614
7,0.2,76.052587,3.937925,175.251614
7,0.2,77.154799,3.933658,175.251614
7,0.2,78.25701,3.92938,175.251614
7,0.2,79.359222,3.92509,175.251614
7,0.2,80.461433,3.920789,175.251614
7,0.2,81.563644,3.916475,175.251614
7,0.2,82.665856,3.912147,175.251614
7,0.2,83.768067,3.907804,175.251614
7,0.2,84.870279,3.903446,175.251614
7,0.2,85.97249,3.89907,175.251614
7,0.2,87.074701,3.894677,175.251614
7,0.2,88.176913,3.890265,175.251614
7,0.2,89.279124,3.885832,175.251614
7,0.2,90.381336,3.881377,175.251614
7,0.2,91.483547,3.8769,175.251614
7,0.2,92.585758,3.872398,175.251614
7,0.2,93.68797,3.86787,175.251614
7,0.2,94.790181,3.863315,175.251614
7,0.2,95.892393,3.85873,175.251614
7,0.2,96.994604,3.854114,175.251614
7,0.2,98.096816,3.849466,175.251614
7,0.2,99.199027,3.844782,175.251614
7,0.2,100.301238,3.840063,175.251614
7,0.2,101.40345,3.835304,175.251614
7,0.2,102.505661,3.830504,175.251614
7,0.2,103.607873,3.825662,175.251614
7,0.2,104.710084,3.820773,175.251614
7,0.2,105.812295,3.815837,175.251614
7,0.2,106.914507,3.810849,175.251614
7,0.2,108.016718,3.805809,175.251614
7,0.2,109.11893,3.800712,175.251614
7,0.2,110.221141,3.795556,175.251614
7,0.2,111.323352,3.790338,175.251614
7,0.2,112.425564,3.785055,175.251614
7,0.2,113.527775,3.779703,175.251614
7,0.2,114.629987,3.77428,175.251614
7,0.2,115.732198,3.76878,175.251614
7,0.2,116.834409,3.763201,175.251614
7,0.2,117.936621,3.75754,175.251614
7,0.2,119.038832,3.751791,175.251614
7,0.2,120.141044,3.74595,175.251614
7,0.2,121.243255,3.740014,175.251614
7,0.2,122.345467,3.733978,175.251614
7,0.2,123.447678,3.727838,175.251614
7,0.2,124.549889,3.721587,175.251614
7,0.2,125.652101,3.715223,175.251614
7,0.2,126.754312,3.708739,175.251614
7,0.2,127.856524,3.702129,175.251614
7,0.2,128.958735,3.69539,175.251614
7,0.2,130.060946,3.688514,175.251614
7,0.2,131.163158,3.681496,175.251614
7,0.2,132.265369,3.674329,175.251614
7,0.2,133.367581,3.667008,175.251614
7,0.2,134.469792,3.659526,175.251614
7,0.2,135.572003,3.651876,175.251614
7,0.2,136.674215,3.644051,175.251614
7,0.2,137.776426,3.636044,175.251614
7,0.2,138.878638,3.627847,175.251614
7,0.2,139.980849,3.619453,175.251614
7,0.2,141.083061,3.610854,175.251614
7,0.2,142.185272,3.602041,175.251614
7,0.2,143.287483,3.593007,175.251614
7,0.2,144.389695,3.583741,175.251614
7,0.2,145.491906,3.574236,175.251614
7,0.2,146.594118,3.564482,175.251614
7,0.2,147.696329,3.55447,175.251614
7,0.2,148.79854,3.544189,175.251614
7,0.2,149.900752,3.533629,175.251614
7,0.2,151.002963,3.52278,175.251614
7,0.2,152.105175,3.511632,175.251614
7,0.2,153.207386,3.500172,175.251614
7,0.2,154.309597,3.488391,175.251614
7,0.2,155.411809,3.476275,175.251614
7,0.2,156.51402,3.463812,175.251614
7,0.2,157.616232,3.450991,175.251614
7,0.2,158.718443,3.437799,175.251614
7,0.2,159.820654,3.424222,175.251614
7,0.2,160.922866,3.410247,175.251614
7,0.2,162.025077,3.395859,175.251614
7,0.2,163.127289,3.381045,175.251614
7,0.2,164.2295,3.36579,175.251614
7,0.2,165.331712,3.350079,175.251614
7,0.2,166.433923,3.333896,175.251614
7,0.2,167.536134,3.317225,175.251614
7,0.2,168.638346,3.30005,175.251614
7,0.2,169.740557,3.282354,175.251614
7,0.2,170.842769,3.26412,175.251614
7,0.2,171.94498,3.24533,175.251614
7,0.2,173.047191,3.225966,175.251614
7,0.2,174.149403,3.20601,175.251614
7,0.2,175.251614,3.185442,175.251614
27,1.0,0.0,4.212671,159.608193
27,1.0,1.003825,4.20852,159.608193
27,1.0,2.00765,4.204369,159.608193
27,1.0,3.011475,4.200218,159.608193
27,1.0,4.0153,4.196068,159.608193
27,1.0,5.019126,4.191917,159.608193
27,1.0,6.022951,4.187766,159.608193
27,1.0,7.026776,4.183615,159.608193
27,1.0,8.030601,4.179464,159.608193
27,1.0,9.034426,4.175313,159.608193
27,1.0,10.038251,4.171162,159.608193
