synthetic_id,field,status
SIM-001,Loading,R
SIM-001,E/S,R
SIM-001,Rate,NR
SIM-001,Temp.,P
SIM-001,CE protocol,NR
SIM-001,N/P,R
SIM-001,Cell format,P
SIM-002,Loading,R
SIM-002,E/S,R
SIM-002,Rate,NV
SIM-002,Temp.,R
SIM-002,CE protocol,R
SIM-002,N/P,P
SIM-002,Cell format,R
SIM-003,Loading,R
SIM-003,E/S,NR
SIM-003,Rate,P
SIM-003,Temp.,R
SIM-003,CE protocol,R
SIM-003,N/P,NV
SIM-003,Cell format,R
SIM-004,Loading,R
SIM-004,E/S,P
SIM-004,Rate,R
SIM-004,Temp.,NR
SIM-004,CE protocol,R
SIM-004,N/P,R
SIM-004,Cell format,P
SIM-005,Loading,R
SIM-005,E/S,R
SIM-005,Rate,NR
SIM-005,Temp.,NR
SIM-005,CE protocol,NR
SIM-005,N/P,R
SIM-005,Cell format,R
SIM-006,Loading,P
SIM-006,E/S,NV
SIM-006,Rate,R
SIM-006,Temp.,R
SIM-006,CE protocol,NR
SIM-006,N/P,NR
SIM-006,Cell format,R
SIM-007,Loading,R
SIM-007,E/S,R
SIM-007,Rate,NR
SIM-007,Temp.,R
SIM-007,CE protocol,P
SIM-007,N/P,NV
SIM-007,Cell format,P
SIM-008,Loading,P
SIM-008,E/S,R
SIM-008,Rate,R
SIM-008,Temp.,P
SIM-008,CE protocol,NV
SIM-008,N/P,R
SIM-008,Cell format,R
SIM-009,Loading,R
SIM-009,E/S,R
SIM-009,Rate,NR
SIM-009,Temp.,R
SIM-009,CE protocol,R
SIM-009,N/P,R
SIM-009,Cell format,R
SIM-010,Loading,R
SIM-010,E/S,R
SIM-010,Rate,NR
SIM-010,Temp.,NV
SIM-010,CE protocol,R
SIM-010,N/P,R
SIM-010,Cell format,P
SIM-011,Loading,NV
SIM-011,E/S,P
SIM-011,Rate,NA
SIM-011,Temp.,R
SIM-011,CE protocol,NR
SIM-011,N/P,P
SIM-011,Cell format,R
SIM-012,Loading,P
SIM-012,E/S,R
SIM-012,Rate,NR
SIM-012,Temp.,R
SIM-012,CE protocol,NR
SIM-012,N/P,R
SIM-012,Cell format,R
SIM-013,Loading,P
SIM-013,E/S,NR
SIM-013,Rate,NR
SIM-013,Temp.,R
SIM-013,CE protocol,P
SIM-013,N/P,R
SIM-013,Cell format,P
SIM-014,Loading,P
SIM-014,E/S,NR
SIM-014,Rate,R
SIM-014,Temp.,R
SIM-014,CE protocol,NR
SIM-014,N/P,NV
SIM-014,Cell format,R
SIM-015,Loading,R
SIM-015,E/S,NR
SIM-015,Rate,R
SIM-015,Temp.,NV
SIM-015,CE protocol,NR
SIM-015,N/P,NA
SIM-015,Cell format,R
SIM-016,Loading,NV
SIM-016,E/S,R
SIM-016,Rate,P
SIM-016,Temp.,P
SIM-016,CE protocol,R
SIM-016,N/P,R
SIM-016,Cell format,P
SIM-017,Loading,R
SIM-017,E/S,R
SIM-017,Rate,P
SIM-017,Temp.,R
SIM-017,CE protocol,P
SIM-017,N/P,R
SIM-017,Cell format,R
SIM-018,Loading,P
SIM-018,E/S,P
SIM-018,Rate,R
SIM-018,Temp.,NV
SIM-018,CE protocol,NV
SIM-018,N/P,P
SIM-018,Cell format,R
