species,sputter_time_s,x_um,y_um,normalized_intensity
F-,30,0.0,0.0,0.0812796
F-,30,0.28169,0.0,0.107169
F-,30,0.56338,0.0,0.1308038
F-,30,0.84507,0.0,0.1501751
F-,30,1.12676,0.0,0.1637387
F-,30,1.40845,0.0,0.1705812
F-,30,1.69014,0.0,0.1705157
F-,30,1.97183,0.0,0.1640957
F-,30,2.25352,0.0,0.1525462
F-,30,2.53521,0.0,0.1376197
F-,30,2.8169,0.0,0.1213943
F-,30,3.09859,0.0,0.1060349
F-,30,3.38028,0.0,0.0935475
F-,30,3.66197,0.0,0.0855508
F-,30,3.94366,0.0,0.0830944
F-,30,4.22535,0.0,0.0865413
F-,30,4.50704,0.0,0.0955292
F-,30,4.78873,0.0,0.1090146
F-,30,5.07042,0.0,0.1253947
F-,30,5.35211,0.0,0.1426926
F-,30,5.6338,0.0,0.1587853
F-,30,5.91549,0.0,0.1716485
F-,30,6.19718,0.0,0.17959
F-,30,6.47887,0.0,0.181446
F-,30,6.76056,0.0,0.1767168
F-,30,7.04225,0.0,0.165628
F-,30,7.32394,0.0,0.1491088
F-,30,7.60563,0.0,0.1286907
F-,30,7.88732,0.0,0.1063376
F-,30,8.16901,0.0,0.0842267
F-,30,8.4507,0.0,0.0645049
F-,30,8.73239,0.0,0.049049
F-,30,9.01408,0.0,0.0392552
F-,30,9.29577,0.0,0.0358849
F-,30,9.57746,0.0,0.0389803
F-,30,9.85915,0.0,0.0478637
F-,30,10.14085,0.0,0.0612174
F-,30,10.42254,0.0,0.0772368
F-,30,10.70423,0.0,0.0938394
F-,30,10.98592,0.0,0.1089045
F-,30,11.26761,0.0,0.1205191
F-,30,11.5493,0.0,0.1271985
F-,30,11.83099,0.0,0.1280598
F-,30,12.11268,0.0,0.1229259
F-,30,12.39437,0.0,0.1123495
F-,30,12.67606,0.0,0.0975535
F-,30,12.95775,0.0,0.0802945
F-,30,13.23944,0.0,0.0626649
F-,30,13.52113,0.0,0.0468556
F-,30,13.80282,0.0,0.0349062
F-,30,14.08451,0.0,0.0284714
F-,30,14.3662,0.0,0.0286292
F-,30,14.64789,0.0,0.0357533
F-,30,14.92958,0.0,0.049465
F-,30,15.21127,0.0,0.0686676
F-,30,15.49296,0.0,0.091663
F-,30,15.77465,0.0,0.1163347
F-,30,16.05634,0.0,0.1403774
F-,30,16.33803,0.0,0.1615486
F-,30,16.61972,0.0,0.1779121
F-,30,16.90141,0.0,0.1880474
F-,30,17.1831,0.0,0.1912009
F-,30,17.46479,0.0,0.1873624
F-,30,17.74648,0.0,0.1772583
F-,30,18.02817,0.0,0.1622626
F-,30,18.30986,0.0,0.1442352
F-,30,18.59155,0.0,0.1253077
F-,30,18.87324,0.0,0.1076383
F-,30,19.15493,0.0,0.0931669
F-,30,19.43662,0.0,0.0833944
F-,30,19.71831,0.0,0.0792144
F-,30,20.0,0.0,0.080814
F-,30,0.0,0.28169,0.0720253
F-,30,0.28169,0.28169,0.0963384
F-,30,0.56338,0.28169,0.1173936
F-,30,0.84507,0.28169,0.1334698
F-,30,1.12676,0.28169,0.1434236
F-,30,1.40845,0.28169,0.1468103
F-,30,1.69014,0.28169,0.1439256
F-,30,1.97183,0.28169,0.1357649
F-,30,2.25352,0.28169,0.1239035
F-,30,2.53521,0.28169,0.1103117
F-,30,2.8169,0.28169,0.0971272
F-,30,3.09859,0.28169,0.086408
F-,30,3.38028,0.28169,0.0798972
F-,30,3.66197,0.28169,0.0788223
F-,30,3.94366,0.28169,0.0837552
F-,30,4.22535,0.28169,0.0945463
F-,30,4.50704,0.28169,0.1103406
F-,30,4.78873,0.28169,0.1296744
F-,30,5.07042,0.28169,0.1506409
F-,30,5.35211,0.28169,0.1711056
F-,30,5.6338,0.28169,0.1889485
F-,30,5.91549,0.28169,0.2023038
F-,30,6.19718,0.28169,0.2097714
F-,30,6.47887,0.28169,0.210575
F-,30,6.76056,0.28169,0.2046507
F-,30,7.04225,0.28169,0.1926536
F-,30,7.32394,0.28169,0.1758836
F-,30,7.60563,0.28169,0.1561386
F-,30,7.88732,0.28169,0.1355099
F-,30,8.16901,0.28169,0.1161457
F-,30,8.4507,0.28169,0.1000077
F-,30,8.73239,0.28169,0.0886493
F-,30,9.01408,0.28169,0.0830402
F-,30,9.29577,0.28169,0.0834583
F-,30,9.57746,0.28169,0.0894605
F-,30,9.85915,0.28169,0.099936
F-,30,10.14085,0.28169,0.1132372
F-,30,10.42254,0.28169,0.1273715
F-,30,10.70423,0.28169,0.1402343
F-,30,10.98592,0.28169,0.1498554
F-,30,11.26761,0.28169,0.1546313
F-,30,11.5493,0.28169,0.1535166
F-,30,11.83099,0.28169,0.1461526
F-,30,12.11268,0.28169,0.1329185
F-,30,12.39437,0.28169,0.114898
F-,30,12.67606,0.28169,0.0937666
F-,30,12.95775,0.28169,0.0716095
F-,30,13.23944,0.28169,0.0506931
F-,30,13.52113,0.28169,0.0332137
F-,30,13.80282,0.28169,0.0210526
F-,30,14.08451,0.28169,0.0155647
F-,30,14.3662,0.28169,0.0174262
F-,30,14.64789,0.28169,0.0265556
F-,30,14.92958,0.28169,0.04212
F-,30,15.21127,0.28169,0.0626247
F-,30,15.49296,0.28169,0.0860754
F-,30,15.77465,0.28169,0.1101967
F-,30,16.05634,0.28169,0.1326804
F-,30,16.33803,0.28169,0.1514363
F-,30,16.61972,0.28169,0.1648183
F-,30,16.90141,0.28169,0.1717991
F-,30,17.1831,0.28169,0.1720742
F-,30,17.46479,0.28169,0.166085
F-,30,17.74648,0.28169,0.1549577
F-,30,18.02817,0.28169,0.1403643
F-,30,18.30986,0.28169,0.1243247
F-,30,18.59155,0.28169,0.1089687
F-,30,18.87324,0.28169,0.0962881
F-,30,19.15493,0.28169,0.0879055
F-,30,19.43662,0.28169,0.0848856
F-,30,19.71831,0.28169,0.0876126
F-,30,20.0,0.28169,0.0957439
F-,30,0.0,0.56338,0.0655177
F-,30,0.28169,0.56338,0.0863646
F-,30,0.56338,0.56338,0.1030934
F-,30,0.84507,0.56338,0.1143684
F-,30,1.12676,0.56338,0.1195156
F-,30,1.40845,0.56338,0.1185926
F-,30,1.69014,0.56338,0.1123753
F-,30,1.97183,0.56338,0.1022633
F-,30,2.25352,0.56338,0.0901157
F-,30,2.53521,0.56338,0.0780351
F-,30,2.8169,0.56338,0.068125
F-,30,3.09859,0.56338,0.0622476
F-,30,3.38028,0.56338,0.0618093
F-,30,3.66197,0.56338,0.0675981
F-,30,3.94366,0.56338,0.0796918
F-,30,4.22535,0.56338,0.0974459
F-,30,4.50704,0.56338,0.1195629
F-,30,4.78873,0.56338,0.1442363
F-,30,5.07042,0.56338,0.1693504
F-,30,5.35211,0.56338,0.1927156
F-,30,5.6338,0.56338,0.2123118
F-,30,5.91549,0.56338,0.2265115
F-,30,6.19718,0.56338,0.2342592
F-,30,6.47887,0.56338,0.2351851
F-,30,6.76056,0.56338,0.2296413
F-,30,7.04225,0.56338,0.2186564
F-,30,7.32394,0.56338,0.2038129
F-,30,7.60563,0.56338,0.1870619
F-,30,7.88732,0.56338,0.1704965
F-,30,8.16901,0.56338,0.1561095
F-,30,8.4507,0.56338,0.1455619
F-,30,8.73239,0.56338,0.1399912
F-,30,9.01408,0.56338,0.139879
F-,30,9.29577,0.56338,0.1449949
F-,30,9.57746,0.56338,0.1544227
F-,30,9.85915,0.56338,0.166666
F-,30,10.14085,0.56338,0.1798218
F-,30,10.42254,0.56338,0.1918025
F-,30,10.70423,0.56338,0.200581
F-,30,10.98592,0.56338,0.2044307
F-,30,11.26761,0.56338,0.2021342
F-,30,11.5493,0.56338,0.193135
F-,30,11.83099,0.56338,0.1776161
F-,30,12.11268,0.56338,0.1564955
F-,30,12.39437,0.56338,0.1313386
F-,30,12.67606,0.56338,0.104197
F-,30,12.95775,0.56338,0.0773914
F-,30,13.23944,0.56338,0.0532628
F-,30,13.52113,0.56338,0.0339201
F-,30,13.80282,0.56338,0.0210111
F-,30,14.08451,0.56338,0.0155446
F-,30,14.3662,0.56338,0.0177821
F-,30,14.64789,0.56338,0.027212
F-,30,14.92958,0.56338,0.0426089
F-,30,15.21127,0.56338,0.0621721
F-,30,15.49296,0.56338,0.0837262
F-,30,15.77465,0.56338,0.1049629
F-,30,16.05634,0.56338,0.1236957
F-,30,16.33803,0.56338,0.1380983
F-,30,16.61972,0.56338,0.1469015
F-,30,16.90141,0.56338,0.1495251
F-,30,17.1831,0.56338,0.1461311
F-,30,17.46479,0.56338,0.1375913
F-,30,17.74648,0.56338,0.1253757
F-,30,18.02817,0.56338,0.1113721
F-,30,18.30986,0.56338,0.0976593
F-,30,18.59155,0.56338,0.0862602
F-,30,18.87324,0.56338,0.0789011
F-,30,19.15493,0.56338,0.0768071
F-,30,19.43662,0.56338,0.0805544
F-,30,19.71831,0.56338,0.0899984
F-,30,20.0,0.56338,0.1042844
F-,30,0.0,0.84507,0.0640147
