sample,frequency_Hz,Zreal_ohm,Zimag_ohm
A,100000.0,4.2053298,-0.0145191
A,82726.95874134,4.2060672,-0.0168824
A,68437.49702591,4.206915,-0.0196434
A,56616.25992823,4.2078909,-0.0228704
A,46836.90999171,4.2090155,-0.0266436
A,38746.75120456,4.2103131,-0.0310571
A,32054.00888261,4.211812,-0.0362213
A,26517.30670326,4.2135456,-0.0422659
A,21936.96137572,4.2155531,-0.049343
A,18147.78098639,4.2178805,-0.0576314
A,15013.10728908,4.2205824,-0.0673408
A,12419.88707283,4.223723,-0.0787172
A,10274.59485446,4.2273786,-0.0920495
A,8499.85984609,4.2316398,-0.1076766
A,7031.67554795,4.2366144,-0.125996
A,5817.09132937,4.2424313,-0.1474736
A,4812.302744,4.2492447,-0.1726557
A,3981.07170553,4.2572405,-0.2021822
A,3293.4195473,4.2666428,-0.236802
A,2724.54583007,4.2777237,-0.2773912
A,2253.93390473,4.2908146,-0.3249731
A,1864.61097143,4.3063213,-0.3807421
A,1542.53594902,4.3247432,-0.4460891
A,1276.09307812,4.3466985,-0.5226314
A,1055.67299423,4.3729559,-0.6122438
A,873.32616238,4.404477,-0.7170932
A,722.47617403,4.4424704,-0.8396727
A,597.68256641,4.4884623,-0.9828357
A,494.44461012,4.5443878,-1.1498238
A,409.03898861,4.6127086,-1.3442851
A,338.38551534,4.6965626,-1.5702721
A,279.93604566,4.7999517,-1.8322063
A,231.582577,4.9279738,-2.1347898
A,191.58122293,5.0870982,-2.4828354
A,158.48931925,5.2854779,-2.8809765
A,131.11339374,5.5332754,-3.333207
A,108.46612315,5.8429495,-3.8421939
A,89.73072494,6.2294096,-4.4083052
A,74.2314998,6.7098833,-5.0283235
A,61.40946221,7.3032759,-5.6938799
A,50.80218047,8.0287513,-6.3897811
A,42.02709888,8.9032855,-7.0926088
A,34.76774075,9.9381251,-7.7702252
A,28.76229454,11.1344866,-8.3829877
A,23.79417154,12.4794493,-8.8873619
A,19.68419447,13.9435563,-9.2419908
A,16.28413544,15.4817172,-9.4151792
A,13.47137001,17.0381669,-9.391643
A,11.14445471,18.5546208,-9.1760768
A,9.21946845,19.9792351,-8.792097
A,7.62698586,21.2735638,-8.276997
A,6.30957344,22.4157178,-7.6743635
A,5.21971822,23.3996374,-7.0270143
A,4.31811414,24.2317273,-6.3719678
A,3.5722445,24.9265059,-5.7379552
A,2.95520924,25.5025658,-5.1450699
A,2.44475472,25.9795087,-4.6057613
A,2.02247123,26.3759819,-4.1264234
A,1.67312894,26.7086417,-3.7090579
A,1.38412869,26.9917742,-3.3527326
A,1.14504757,27.2373173,-3.0547328
A,0.94726303,27.4550936,-2.811407
A,0.7836419,27.6531287,-2.618752
A,0.64828311,27.8379812,-2.472798
A,0.5363049,28.0150472,-2.3698466
A,0.44366873,28.1888238,-2.3066092
A,0.36703365,28.3631293,-2.2802773
A,0.30363578,28.5412823,-2.2885508
A,0.25118864,28.7262465,-2.32964
A,0.20780073,28.9207467,-2.4022541
A,0.17190722,29.1273627,-2.505582
A,0.14221362,29.3486053,-2.6392721
A,0.117649,29.5869794,-2.8034124
A,0.09732744,29.8450381,-2.9985145
A,0.08051603,30.1254287,-3.2255009
A,0.06660846,30.430935,-3.4856971
A,0.05510316,30.7645162,-3.7808288
A,0.04558516,31.1293439,-4.1130239
A,0.03771122,31.5288395,-4.4848199
A,0.03119735,31.9667107,-4.8991762
A,0.02580862,32.4469902,-5.3594912
A,0.02135068,32.9740759,-5.8696254
A,0.01766277,33.5527735,-6.4339285
A,0.01461187,34.1883421,-7.0572734
A,0.01208796,34.8865437,-7.7450938
A,0.01,35.6536964,-8.5034299
B,100000.0,5.1096438,-0.0257319
