cycle,capacity_mAh_g,voltage_V,cycling_endpoint_mAh_g
1,0.0,4.259996,180.495518
1,1.008355,4.256141,180.495518
1,2.01671,4.252287,180.495518
1,3.025065,4.248432,180.495518
1,4.033419,4.244577,180.495518
1,5.041774,4.240722,180.495518
1,6.050129,4.236868,180.495518
1,7.058484,4.233013,180.495518
1,8.066839,4.229158,180.495518
1,9.075194,4.225303,180.495518
1,10.083548,4.221449,180.495518
1,11.091903,4.217594,180.495518
1,12.100258,4.213739,180.495518
1,13.108613,4.209884,180.495518
1,14.116968,4.20603,180.495518
1,15.125323,4.202175,180.495518
1,16.133678,4.19832,180.495518
1,17.142032,4.194465,180.495518
1,18.150387,4.19061,180.495518
1,19.158742,4.186756,180.495518
1,20.167097,4.182901,180.495518
1,21.175452,4.179046,180.495518
1,22.183807,4.175191,180.495518
1,23.192162,4.171337,180.495518
1,24.200516,4.167482,180.495518
1,25.208871,4.163627,180.495518
1,26.217226,4.159772,180.495518
1,27.225581,4.155917,180.495518
1,28.233936,4.152062,180.495518
1,29.242291,4.148207,180.495518
1,30.250645,4.144352,180.495518
1,31.259,4.140497,180.495518
1,32.267355,4.136642,180.495518
1,33.27571,4.132787,180.495518
1,34.284065,4.128931,180.495518
1,35.29242,4.125076,180.495518
1,36.300775,4.12122,180.495518
1,37.309129,4.117364,180.495518
1,38.317484,4.113508,180.495518
1,39.325839,4.109652,180.495518
1,40.334194,4.105796,180.495518
1,41.342549,4.101939,180.495518
1,42.350904,4.098082,180.495518
1,43.359258,4.094225,180.495518
1,44.367613,4.090367,180.495518
1,45.375968,4.086509,180.495518
1,46.384323,4.08265,180.495518
1,47.392678,4.078791,180.495518
1,48.401033,4.074931,180.495518
1,49.409388,4.071071,180.495518
1,50.417742,4.067209,180.495518
1,51.426097,4.063347,180.495518
1,52.434452,4.059484,180.495518
1,53.442807,4.055621,180.495518
1,54.451162,4.051755,180.495518
1,55.459517,4.047889,180.495518
1,56.467871,4.044022,180.495518
1,57.476226,4.040152,180.495518
1,58.484581,4.036282,180.495518
1,59.492936,4.032409,180.495518
1,60.501291,4.028535,180.495518
1,61.509646,4.024659,180.495518
1,62.518001,4.02078,180.495518
1,63.526355,4.016899,180.495518
1,64.53471,4.013016,180.495518
1,65.543065,4.009129,180.495518
1,66.55142,4.00524,180.495518
1,67.559775,4.001347,180.495518
1,68.56813,3.997451,180.495518
1,69.576485,3.99355,180.495518
1,70.584839,3.989646,180.495518
1,71.593194,3.985737,180.495518
1,72.601549,3.981824,180.495518
1,73.609904,3.977905,180.495518
1,74.618259,3.973981,180.495518
1,75.626614,3.970051,180.495518
1,76.634968,3.966115,180.495518
1,77.643323,3.962172,180.495518
1,78.651678,3.958222,180.495518
1,79.660033,3.954264,180.495518
1,80.668388,3.950298,180.495518
1,81.676743,3.946324,180.495518
1,82.685098,3.94234,180.495518
1,83.693452,3.938347,180.495518
1,84.701807,3.934343,180.495518
1,85.710162,3.930328,180.495518
1,86.718517,3.926301,180.495518
1,87.726872,3.922262,180.495518
1,88.735227,3.91821,180.495518
1,89.743581,3.914144,180.495518
1,90.751936,3.910063,180.495518
1,91.760291,3.905967,180.495518
1,92.768646,3.901854,180.495518
1,93.777001,3.897723,180.495518
1,94.785356,3.893575,180.495518
1,95.793711,3.889407,180.495518
1,96.802065,3.885218,180.495518
1,97.81042,3.881008,180.495518
1,98.818775,3.876775,180.495518
1,99.82713,3.872519,180.495518
1,100.835485,3.868237,180.495518
1,101.84384,3.863929,180.495518
1,102.852195,3.859593,180.495518
1,103.860549,3.855228,180.495518
1,104.868904,3.850833,180.495518
1,105.877259,3.846405,180.495518
