cycle,A_ce_pct,B_ce_pct,plated_mAh_cm2
1,98.27,97.54,1.0
2,98.40883,97.67887,1.0
3,98.53243,97.7942,1.0
4,98.66374,97.98781,1.0
5,98.75298,98.09266,1.0
6,98.81868,98.29116,1.0
7,98.91604,98.36088,1.0
8,98.95389,98.44041,1.0
9,99.01709,98.51732,1.0
10,99.03578,98.59702,1.0
11,99.07118,98.68347,1.0
12,99.08563,98.68642,1.0
13,99.12349,98.77321,1.0
14,99.14508,98.82041,1.0
15,99.19415,98.78273,1.0
16,99.19516,98.73751,1.0
17,99.19977,98.74087,1.0
18,99.19319,98.7581,1.0
19,99.21946,98.72582,1.0
20,99.20644,98.77915,1.0
21,99.27238,98.83313,1.0
22,99.25768,98.86003,1.0
23,99.24414,98.87571,1.0
24,99.25771,98.89499,1.0
25,99.25645,98.92625,1.0
26,99.24727,98.94256,1.0
27,99.29634,98.97133,1.0
28,99.32167,99.00709,1.0
29,99.3357,99.01636,1.0
30,99.36052,98.98482,1.0
31,99.36228,99.00081,1.0
32,99.33848,99.0037,1.0
33,99.34891,98.99254,1.0
34,99.32715,99.02898,1.0
35,99.31098,99.03856,1.0
36,99.29646,98.99226,1.0
37,99.29419,99.02631,1.0
38,99.31426,99.06608,1.0
39,99.3029,99.05474,1.0
40,99.31266,99.05369,1.0
41,99.32882,99.05419,1.0
42,99.355,99.07834,1.0
43,99.35414,99.04709,1.0
44,99.37051,99.05617,1.0
45,99.33883,99.0043,1.0
46,99.34839,99.04391,1.0
47,99.38348,99.00879,1.0
48,99.35129,99.04045,1.0
49,99.34638,99.07616,1.0
50,99.35986,99.04715,1.0
51,99.40979,99.02666,1.0
52,99.39263,98.96642,1.0
53,99.36419,98.94534,1.0
54,99.36118,98.9577,1.0
55,99.3443,98.94618,1.0
56,99.34775,98.93474,1.0
57,99.31474,98.94883,1.0
58,99.31882,99.02601,1.0
59,99.3382,99.03053,1.0
60,99.34621,99.08721,1.0
61,99.37922,99.10118,1.0
62,99.4057,99.07426,1.0
63,99.39336,99.11716,1.0
64,99.39509,99.06281,1.0
65,99.42445,99.02579,1.0
66,99.41689,98.87641,1.0
67,99.40669,98.85754,1.0
68,99.46386,98.87806,1.0
69,99.47242,98.91134,1.0
70,99.42377,98.89668,1.0
71,99.42758,98.86434,1.0
72,99.4531,98.90032,1.0
73,99.43073,98.89902,1.0
74,99.40344,98.99202,1.0
75,99.40549,99.00886,1.0
76,99.3642,99.02236,1.0
77,99.34336,99.06317,1.0
78,99.33258,99.10227,1.0
79,99.33227,99.05885,1.0
80,99.32067,99.04776,1.0
81,99.32496,99.07327,1.0
82,99.35554,99.04952,1.0
83,99.35304,98.9849,1.0
84,99.34013,99.03646,1.0
85,99.31814,99.09207,1.0
86,99.34156,99.02985,1.0
87,99.33474,99.03115,1.0
88,99.35879,99.05157,1.0
89,99.37896,98.99855,1.0
90,99.38545,99.02231,1.0
91,99.40376,98.98865,1.0
92,99.40862,98.98066,1.0
93,99.36602,98.98499,1.0
94,99.39654,99.02741,1.0
95,99.38926,98.93169,1.0
96,99.38818,98.96191,1.0
97,99.35649,98.99016,1.0
98,99.3737,99.00737,1.0
99,99.378,99.04284,1.0
100,99.39003,99.01382,1.0
101,99.40162,99.04797,1.0
102,99.38598,99.08883,1.0
103,99.3907,99.06366,1.0
104,99.37686,99.14254,1.0
105,99.40499,99.11665,1.0
106,99.40444,99.11581,1.0
107,99.37599,99.12972,1.0
108,99.39357,99.13794,1.0
109,99.35575,99.1332,1.0
110,99.34692,99.07601,1.0
111,99.33787,99.12039,1.0
112,99.34483,99.09597,1.0
113,99.35312,99.06736,1.0
114,99.35545,99.08617,1.0
115,99.35853,99.03978,1.0
116,99.37079,99.02862,1.0
117,99.39408,99.00779,1.0
118,99.37632,99.04142,1.0
119,99.38588,99.07213,1.0
120,99.34688,99.09171,1.0
121,99.35227,99.04246,1.0
122,99.34885,99.05981,1.0
123,99.37812,99.08175,1.0
124,99.36923,98.9895,1.0
125,99.41048,98.92835,1.0
126,99.39679,98.91184,1.0
127,99.36637,98.96062,1.0
128,99.34583,98.96873,1.0
129,99.3239,98.97808,1.0
130,99.32286,99.00049,1.0
131,99.33095,98.99301,1.0
132,99.32603,98.98694,1.0
133,99.3113,98.90892,1.0
134,99.30615,98.92736,1.0
135,99.3162,98.95911,1.0
136,99.29213,99.00528,1.0
137,99.29388,98.90496,1.0
138,99.32035,98.88284,1.0
139,99.32024,98.86301,1.0
140,99.31215,98.85864,1.0
141,99.31004,98.91974,1.0
142,99.33703,98.94694,1.0
143,99.34386,98.95713,1.0
144,99.3626,98.94003,1.0
145,99.346,98.94598,1.0
146,99.34554,98.89593,1.0
147,99.34331,98.91399,1.0
148,99.3124,98.92891,1.0
149,99.31392,98.91863,1.0
150,99.33185,98.98472,1.0
151,99.28645,98.92409,1.0
152,99.30171,98.95567,1.0
153,99.32266,98.89759,1.0
154,99.29804,98.91218,1.0
155,99.31842,98.90197,1.0
156,99.34166,98.9102,1.0
157,99.36703,98.90647,1.0
158,99.37042,98.97949,1.0
159,99.38492,98.99064,1.0
160,99.3831,99.01689,1.0
161,99.36931,98.99944,1.0
162,99.37609,98.96194,1.0
163,99.36236,98.98143,1.0
164,99.38374,99.0235,1.0
165,99.36158,99.0937,1.0
166,99.38532,99.07674,1.0
167,99.34265,99.08051,1.0
168,99.3427,99.06803,1.0
169,99.32316,99.03779,1.0
170,99.33491,99.02572,1.0
171,99.31278,99.067,1.0
172,99.3153,98.96369,1.0
173,99.33656,99.01432,1.0
174,99.34604,98.959,1.0
175,99.36681,98.98974,1.0
176,99.36634,98.98188,1.0
177,99.35652,99.00317,1.0
178,99.3758,98.97852,1.0
179,99.34966,98.99296,1.0
180,99.29703,98.97588,1.0
181,99.29085,99.0547,1.0
182,99.32597,99.04059,1.0
183,99.32559,99.03802,1.0
184,99.31134,99.01212,1.0
185,99.34934,98.98525,1.0
186,99.35104,99.00779,1.0
187,99.38441,98.95837,1.0
188,99.33782,98.93182,1.0
189,99.35421,98.90004,1.0
190,99.35815,98.95786,1.0
191,99.36964,98.97469,1.0
192,99.37994,99.03351,1.0
193,99.35564,99.02958,1.0
194,99.36528,99.04663,1.0
195,99.38723,99.03746,1.0
196,99.40386,99.07043,1.0
197,99.43319,99.0596,1.0
198,99.38601,99.06553,1.0
199,99.33005,99.03782,1.0
200,99.37835,99.04605,1.0
201,99.35983,99.00452,1.0
202,99.33327,99.07599,1.0
203,99.32896,99.00994,1.0
204,99.3489,99.02129,1.0
205,99.36125,99.05072,1.0
206,99.36132,99.06994,1.0
207,99.38174,99.07416,1.0
208,99.3676,99.02241,1.0
209,99.36281,99.00665,1.0
210,99.37005,98.95592,1.0
211,99.34852,98.97827,1.0
212,99.30383,98.96131,1.0
213,99.3217,98.88182,1.0
214,99.34816,98.93387,1.0
215,99.39522,98.98737,1.0
216,99.34785,98.95349,1.0
217,99.33759,98.97052,1.0
218,99.32837,98.98647,1.0
219,99.35902,98.95236,1.0
220,99.35582,98.95667,1.0
221,99.33674,98.94621,1.0
222,99.29803,98.93164,1.0
223,99.3081,98.97733,1.0
224,99.31996,98.99072,1.0
225,99.27687,98.98271,1.0
226,99.27558,99.02046,1.0
227,99.26575,98.97624,1.0
228,99.26946,99.04808,1.0
229,99.27353,99.09436,1.0
230,99.31864,99.09761,1.0
231,99.33499,99.11397,1.0
232,99.33325,99.0444,1.0
233,99.31095,99.06448,1.0
234,99.29517,99.03855,1.0
235,99.30418,99.03619,1.0
236,99.291,99.02205,1.0
237,99.28823,99.04665,1.0
238,99.29542,99.07989,1.0
239,99.2884,99.03724,1.0
240,99.31977,98.97759,1.0
241,99.31275,99.00177,1.0
242,99.31564,99.024,1.0
243,99.29705,99.01508,1.0
244,99.32592,98.9519,1.0
245,99.33335,98.91389,1.0
246,99.34685,98.87444,1.0
247,99.35381,98.84705,1.0
248,99.35813,98.87106,1.0
249,99.37165,98.83801,1.0
250,99.3114,98.8932,1.0
251,99.29103,98.90496,1.0
252,99.28113,98.86693,1.0
253,99.31018,98.86382,1.0
254,99.31798,98.78906,1.0
255,99.30387,98.78594,1.0
256,99.28961,98.74893,1.0
257,99.31918,98.81279,1.0
258,99.29187,98.80465,1.0
259,99.30532,98.8289,1.0
260,99.29564,98.86441,1.0
261,99.31902,98.86173,1.0
262,99.31771,98.85352,1.0
263,99.29387,98.85405,1.0
264,99.25256,98.40786,1.0
265,99.25345,98.83093,1.0
266,99.24962,98.835,1.0
267,99.2561,98.85204,1.0
268,99.28554,98.78169,1.0
269,99.28754,98.77849,1.0
270,99.28139,98.78171,1.0
271,99.3387,98.76286,1.0
272,99.30907,98.81785,1.0
273,99.32025,98.75239,1.0
274,99.29485,98.82672,1.0
275,99.32572,98.79242,1.0
276,99.33702,98.76671,1.0
277,99.34169,98.81074,1.0
278,99.31636,98.85172,1.0
279,99.32186,98.88793,1.0
280,99.31052,98.78109,1.0
281,99.30527,98.7317,1.0
282,99.27036,98.71478,1.0
283,99.25552,98.65712,1.0
284,99.28859,98.66386,1.0
285,99.28359,98.70157,1.0
286,99.33749,98.64081,1.0
287,99.32742,98.67159,1.0
288,99.31319,98.68441,1.0
289,99.31117,98.62563,1.0
290,99.32657,98.59175,1.0
291,99.2913,98.63167,1.0
292,99.31288,98.66071,1.0
293,99.28992,98.67291,1.0
294,99.264,98.65697,1.0
295,99.24989,98.69047,1.0
296,99.26148,98.64363,1.0
297,99.26151,98.62288,1.0
298,99.28715,98.57598,1.0
299,99.28221,98.50183,1.0
300,99.28552,98.47294,1.0
