soc_fraction,voltage_V
0.0,3.2
0.009615,3.207981
0.019231,3.215962
0.028846,3.223942
0.038462,3.231923
0.048077,3.239904
0.057692,3.247885
0.067308,3.255865
0.076923,3.263846
0.086538,3.271827
0.096154,3.279808
0.105769,3.287788
0.115385,3.295769
0.125,3.30375
0.134615,3.311731
0.144231,3.319712
0.153846,3.327693
0.163462,3.335674
0.173077,3.343655
0.182692,3.351636
0.192308,3.359617
0.201923,3.367599
0.211538,3.37558
0.221154,3.383562
0.230769,3.391545
0.240385,3.399528
0.25,3.407511
0.259615,3.415495
0.269231,3.42348
0.278846,3.431466
0.288462,3.439453
0.298077,3.447441
0.307692,3.455432
0.317308,3.463424
0.326923,3.471418
0.336538,3.479415
0.346154,3.487415
0.355769,3.495418
0.365385,3.503426
0.375,3.511438
0.384615,3.519455
0.394231,3.527478
0.403846,3.535508
0.413462,3.543545
0.423077,3.551591
0.432692,3.559646
0.442308,3.567712
0.451923,3.575789
0.461538,3.58388
0.471154,3.591985
0.480769,3.600107
0.490385,3.608247
0.5,3.616406
0.509615,3.624588
0.519231,3.632793
0.528846,3.641025
0.538462,3.649285
0.548077,3.657578
0.557692,3.665905
0.567308,3.674269
0.576923,3.682675
0.586538,3.691126
0.596154,3.699625
0.605769,3.708176
0.615385,3.716785
0.625,3.725456
0.634615,3.734193
0.644231,3.743002
0.653846,3.751888
0.663462,3.760859
0.673077,3.769919
0.682692,3.779075
0.692308,3.788336
0.701923,3.797707
0.711538,3.807198
0.721154,3.816816
0.730769,3.826571
0.740385,3.836471
0.75,3.846527
0.759615,3.856749
0.769231,3.867147
0.778846,3.877734
0.788462,3.888522
0.798077,3.899522
0.807692,3.910749
0.817308,3.922216
0.826923,3.933938
0.836538,3.94593
0.846154,3.958208
0.855769,3.97079
0.865385,3.983693
0.875,3.996935
0.884615,4.010536
0.894231,4.024515
0.903846,4.038894
0.913462,4.053695
0.923077,4.068941
0.932692,4.084655
0.942308,4.100862
0.951923,4.117589
0.961538,4.134862
0.971154,4.15271
0.980769,4.171162
0.990385,4.190248
1.0,4.21
