time_min,x_mm,y_mm,surface_temperature_C
30,0.0,0.0,30.30951
30,1.0,0.0,30.33624
30,2.0,0.0,30.363
30,3.0,0.0,30.38972
30,4.0,0.0,30.41629
30,5.0,0.0,30.44263
30,6.0,0.0,30.46866
30,7.0,0.0,30.4943
30,8.0,0.0,30.51945
30,9.0,0.0,30.54407
30,10.0,0.0,30.56806
30,11.0,0.0,30.59138
30,12.0,0.0,30.61397
30,13.0,0.0,30.63577
30,14.0,0.0,30.65673
30,15.0,0.0,30.67681
30,16.0,0.0,30.69598
30,17.0,0.0,30.71419
30,18.0,0.0,30.73142
30,19.0,0.0,30.74764
30,20.0,0.0,30.76282
30,21.0,0.0,30.77696
30,22.0,0.0,30.79002
30,23.0,0.0,30.80199
30,24.0,0.0,30.81287
30,25.0,0.0,30.82262
30,26.0,0.0,30.83124
30,27.0,0.0,30.83872
30,28.0,0.0,30.84504
30,29.0,0.0,30.85018
30,30.0,0.0,30.85413
30,31.0,0.0,30.85688
30,32.0,0.0,30.85839
30,33.0,0.0,30.85866
30,34.0,0.0,30.85767
30,35.0,0.0,30.85539
30,36.0,0.0,30.8518
30,37.0,0.0,30.84689
30,38.0,0.0,30.84064
30,39.0,0.0,30.83303
30,40.0,0.0,30.82406
30,41.0,0.0,30.8137
30,42.0,0.0,30.80197
30,43.0,0.0,30.78886
30,44.0,0.0,30.77438
30,45.0,0.0,30.75856
30,46.0,0.0,30.74141
30,47.0,0.0,30.72298
30,48.0,0.0,30.70331
30,49.0,0.0,30.68246
30,50.0,0.0,30.6605
30,51.0,0.0,30.63751
30,52.0,0.0,30.61358
30,53.0,0.0,30.58881
30,54.0,0.0,30.56332
30,55.0,0.0,30.53723
30,56.0,0.0,30.51067
30,57.0,0.0,30.48378
30,58.0,0.0,30.45673
30,59.0,0.0,30.42965
30,60.0,0.0,30.40271
30,61.0,0.0,30.37607
30,62.0,0.0,30.34991
30,63.0,0.0,30.32437
30,64.0,0.0,30.29963
30,65.0,0.0,30.27584
30,66.0,0.0,30.25316
30,67.0,0.0,30.23173
30,68.0,0.0,30.21169
30,69.0,0.0,30.19317
30,70.0,0.0,30.17629
30,71.0,0.0,30.16115
30,72.0,0.0,30.14785
30,73.0,0.0,30.13646
30,74.0,0.0,30.12703
30,75.0,0.0,30.11964
