time_min,path,distance_mm,surface_temperature_C
30,y=35 mm,0.0,30.45603
30,y=35 mm,1.0,30.45675
30,y=35 mm,2.0,30.4612
30,y=35 mm,3.0,30.46987
30,y=35 mm,4.0,30.48328
30,y=35 mm,5.0,30.50198
30,y=35 mm,6.0,30.52654
30,y=35 mm,7.0,30.55754
30,y=35 mm,8.0,30.59558
30,y=35 mm,9.0,30.64128
30,y=35 mm,10.0,30.69527
30,y=35 mm,11.0,30.7582
30,y=35 mm,12.0,30.8307
30,y=35 mm,13.0,30.91342
30,y=35 mm,14.0,31.00697
30,y=35 mm,15.0,31.11197
30,y=35 mm,16.0,31.22901
30,y=35 mm,17.0,31.35861
30,y=35 mm,18.0,31.50128
30,y=35 mm,19.0,31.65745
30,y=35 mm,20.0,31.82746
30,y=35 mm,21.0,32.01159
30,y=35 mm,22.0,32.20998
30,y=35 mm,23.0,32.42269
30,y=35 mm,24.0,32.64962
30,y=35 mm,25.0,32.89053
30,y=35 mm,26.0,33.14504
30,y=35 mm,27.0,33.41258
30,y=35 mm,28.0,33.69243
30,y=35 mm,29.0,33.98365
30,y=35 mm,30.0,34.28516
30,y=35 mm,31.0,34.59567
30,y=35 mm,32.0,34.91371
30,y=35 mm,33.0,35.23763
30,y=35 mm,34.0,35.56564
30,y=35 mm,35.0,35.89577
30,y=35 mm,36.0,36.22593
30,y=35 mm,37.0,36.55391
30,y=35 mm,38.0,36.87742
30,y=35 mm,39.0,37.19408
30,y=35 mm,40.0,37.50152
30,y=35 mm,41.0,37.79731
30,y=35 mm,42.0,38.07908
30,y=35 mm,43.0,38.34451
30,y=35 mm,44.0,38.59137
30,y=35 mm,45.0,38.81755
30,y=35 mm,46.0,39.0211
30,y=35 mm,47.0,39.20022
30,y=35 mm,48.0,39.35336
30,y=35 mm,49.0,39.47918
30,y=35 mm,50.0,39.57657
30,y=35 mm,51.0,39.64473
30,y=35 mm,52.0,39.68309
30,y=35 mm,53.0,39.69141
30,y=35 mm,54.0,39.66969
30,y=35 mm,55.0,39.61826
30,y=35 mm,56.0,39.5377
30,y=35 mm,57.0,39.42887
30,y=35 mm,58.0,39.29289
30,y=35 mm,59.0,39.13109
30,y=35 mm,60.0,38.94505
30,y=35 mm,61.0,38.7365
30,y=35 mm,62.0,38.50737
30,y=35 mm,63.0,38.25969
30,y=35 mm,64.0,37.99561
30,y=35 mm,65.0,37.71734
30,y=35 mm,66.0,37.42715
30,y=35 mm,67.0,37.12729
30,y=35 mm,68.0,36.82003
30,y=35 mm,69.0,36.50756
30,y=35 mm,70.0,36.19203
30,y=35 mm,71.0,35.87546
30,y=35 mm,72.0,35.55979
30,y=35 mm,73.0,35.24682
30,y=35 mm,74.0,34.93821
30,y=35 mm,75.0,34.63544
30,y=35 mm,76.0,34.33986
30,y=35 mm,77.0,34.05264
30,y=35 mm,78.0,33.77477
30,y=35 mm,79.0,33.5071
30,y=35 mm,80.0,33.2503
30,y=35 mm,81.0,33.00487
30,y=35 mm,82.0,32.77119
30,y=35 mm,83.0,32.54947
30,y=35 mm,84.0,32.33981
30,y=35 mm,85.0,32.14219
30,y=35 mm,86.0,31.95649
30,y=35 mm,87.0,31.78249
30,y=35 mm,88.0,31.61989
30,y=35 mm,89.0,31.46833
30,y=35 mm,90.0,31.3274
30,y=35 mm,91.0,31.19665
30,y=35 mm,92.0,31.07558
30,y=35 mm,93.0,30.9637
30,y=35 mm,94.0,30.86049
30,y=35 mm,95.0,30.76543
30,y=35 mm,96.0,30.67802
30,y=35 mm,97.0,30.59775
30,y=35 mm,98.0,30.52415
30,y=35 mm,99.0,30.45675
30,y=35 mm,100.0,30.39512
