species,sputter_time_s,mean_normalized_intensity
F-,0.0,0.3970908
Li+,0.0,0.0687378
S-,0.0,0.0928793
F-,1.818182,0.3881549
Li+,1.818182,0.0758525
S-,1.818182,0.0939513
F-,3.636364,0.3794948
Li+,3.636364,0.0826726
S-,3.636364,0.0951616
F-,5.454545,0.371102
Li+,5.454545,0.0892104
S-,5.454545,0.0965224
F-,7.272727,0.3629682
Li+,7.272727,0.0954775
S-,7.272727,0.0980458
F-,9.090909,0.3550854
Li+,9.090909,0.1014851
S-,9.090909,0.0997441
F-,10.909091,0.3474459
Li+,10.909091,0.107244
S-,10.909091,0.1016292
F-,12.727273,0.3400422
Li+,12.727273,0.1127644
S-,12.727273,0.1037127
F-,14.545455,0.3328669
Li+,14.545455,0.1180563
S-,14.545455,0.1060053
F-,16.363636,0.3259131
Li+,16.363636,0.1231291
S-,16.363636,0.1085169
F-,18.181818,0.3191739
Li+,18.181818,0.1279919
S-,18.181818,0.1112562
F-,20.0,0.3126427
Li+,20.0,0.1326534
S-,20.0,0.1142303
F-,21.818182,0.3063131
Li+,21.818182,0.1371218
S-,21.818182,0.1174444
F-,23.636364,0.3001787
Li+,23.636364,0.1414053
S-,23.636364,0.1209018
F-,25.454545,0.2942338
Li+,25.454545,0.1455114
S-,25.454545,0.1246033
F-,27.272727,0.2884722
Li+,27.272727,0.1494475
S-,27.272727,0.1285471
F-,29.090909,0.2828885
Li+,29.090909,0.1532207
S-,29.090909,0.1327284
F-,30.909091,0.2774771
Li+,30.909091,0.1568376
S-,30.909091,0.1371393
F-,32.727273,0.2722327
Li+,32.727273,0.1603048
S-,32.727273,0.1417687
F-,34.545455,0.2671502
Li+,34.545455,0.1636284
S-,34.545455,0.1466017
F-,36.363636,0.2622245
Li+,36.363636,0.1668145
S-,36.363636,0.15162
F-,38.181818,0.2574509
Li+,38.181818,0.1698686
S-,38.181818,0.1568018
F-,40.0,0.2528245
Li+,40.0,0.1727963
S-,40.0,0.1621215
F-,41.818182,0.248341
Li+,41.818182,0.1756027
S-,41.818182,0.1675501
F-,43.636364,0.2439958
Li+,43.636364,0.178293
S-,43.636364,0.1730553
F-,45.454545,0.2397847
Li+,45.454545,0.1808719
S-,45.454545,0.1786015
F-,47.272727,0.2357036
Li+,47.272727,0.183344
S-,47.272727,0.1841506
F-,49.090909,0.2317484
Li+,49.090909,0.1857138
S-,49.090909,0.1896619
F-,50.909091,0.2279153
Li+,50.909091,0.1879855
S-,50.909091,0.1950928
F-,52.727273,0.2242005
Li+,52.727273,0.1901631
S-,52.727273,0.2003994
F-,54.545455,0.2206003
Li+,54.545455,0.1922505
S-,54.545455,0.2055367
F-,56.363636,0.2171112
Li+,56.363636,0.1942516
S-,56.363636,0.2104597
F-,58.181818,0.2137298
Li+,58.181818,0.1961697
S-,58.181818,0.2151237
F-,60.0,0.2104528
Li+,60.0,0.1980085
S-,60.0,0.219485
F-,61.818182,0.2072769
Li+,61.818182,0.1997711
S-,61.818182,0.2235018
F-,63.636364,0.204199
Li+,63.636364,0.2014608
S-,63.636364,0.2271345
F-,65.454545,0.2012161
Li+,65.454545,0.2030805
S-,65.454545,0.2303467
F-,67.272727,0.1983253
Li+,67.272727,0.2046332
S-,67.272727,0.2331056
F-,69.090909,0.1955237
Li+,69.090909,0.2061215
S-,69.090909,0.2353827
F-,70.909091,0.1928085
Li+,70.909091,0.2075483
S-,70.909091,0.2371542
F-,72.727273,0.1901771
Li+,72.727273,0.2089159
S-,72.727273,0.2384013
F-,74.545455,0.187627
Li+,74.545455,0.210227
S-,74.545455,0.2391107
F-,76.363636,0.1851555
Li+,76.363636,0.2114838
S-,76.363636,0.2392749
F-,78.181818,0.1827603
Li+,78.181818,0.2126885
S-,78.181818,0.238892
F-,80.0,0.1804391
Li+,80.0,0.2138434
S-,80.0,0.2379663
F-,81.818182,0.1781895
Li+,81.818182,0.2149504
S-,81.818182,0.2365076
F-,83.636364,0.1760093
Li+,83.636364,0.2160116
S-,83.636364,0.2345313
F-,85.454545,0.1738964
Li+,85.454545,0.2170289
S-,85.454545,0.2320583
F-,87.272727,0.1718487
Li+,87.272727,0.2180041
S-,87.272727,0.2291144
F-,89.090909,0.1698641
Li+,89.090909,0.2189388
S-,89.090909,0.2257299
F-,90.909091,0.1679409
Li+,90.909091,0.2198349
S-,90.909091,0.221939
F-,92.727273,0.166077
Li+,92.727273,0.2206939
S-,92.727273,0.2177796
F-,94.545455,0.1642706
Li+,94.545455,0.2215173
S-,94.545455,0.213292
F-,96.363636,0.16252
Li+,96.363636,0.2223067
S-,96.363636,0.2085191
F-,98.181818,0.1608233
Li+,98.181818,0.2230633
S-,98.181818,0.203505
F-,100.0,0.1591791
Li+,100.0,0.2237886
S-,100.0,0.1982945
F-,101.818182,0.1575856
Li+,101.818182,0.2244839
S-,101.818182,0.1929329
F-,103.636364,0.1560413
Li+,103.636364,0.2251504
S-,103.636364,0.1874646
F-,105.454545,0.1545446
Li+,105.454545,0.2257893
S-,105.454545,0.1819332
F-,107.272727,0.1530941
Li+,107.272727,0.2264018
S-,107.272727,0.1763805
F-,109.090909,0.1516884
Li+,109.090909,0.2269889
S-,109.090909,0.1708462
F-,110.909091,0.1503261
Li+,110.909091,0.2275517
S-,110.909091,0.1653676
F-,112.727273,0.1490058
Li+,112.727273,0.2280912
S-,112.727273,0.1599789
F-,114.545455,0.1477263
Li+,114.545455,0.2286084
S-,114.545455,0.154711
F-,116.363636,0.1464862
Li+,116.363636,0.2291041
S-,116.363636,0.1495917
F-,118.181818,0.1452844
Li+,118.181818,0.2295793
S-,118.181818,0.1446451
F-,120.0,0.1441197
Li+,120.0,0.2300349
S-,120.0,0.1398916
F-,121.818182,0.142991
Li+,121.818182,0.2304716
S-,121.818182,0.135348
F-,123.636364,0.1418971
Li+,123.636364,0.2308902
S-,123.636364,0.1310278
F-,125.454545,0.1408369
Li+,125.454545,0.2312915
S-,125.454545,0.1269407
F-,127.272727,0.1398095
Li+,127.272727,0.2316761
S-,127.272727,0.1230934
F-,129.090909,0.1388138
Li+,129.090909,0.2320449
S-,129.090909,0.1194895
F-,130.909091,0.1378488
Li+,130.909091,0.2323983
S-,130.909091,0.1161297
F-,132.727273,0.1369136
Li+,132.727273,0.2327372
S-,132.727273,0.1130121
F-,134.545455,0.1360072
